row_cluster,column_cluster,n_rows,n_features,volume,mean,std,zero_fraction,h_score
0,0,1277,988,1261676,0.01639234269338087,0.07664041686037815,0.8897561656082861,0.004753265258439634
0,1,1277,181,231137,0.38399178936018463,0.45694692093161143,0.5214829300371641,0.17818270922841328
0,2,1277,63,80451,0.7256321882443226,0.33413789042562175,0.12349131769648607,0.08220209583657005
0,3,1277,291,371607,0.054865609596234724,0.2115067936033177,0.9035863156506739,0.0347005910657192
1,0,383,988,378404,0.04457116489391233,0.15079139599251798,0.8141721546283865,0.01814192946227315
1,1,383,181,69323,0.41895037758504394,0.4642182670998301,0.4856396866840731,0.1877985533314836
1,2,383,63,24129,0.7042224773950433,0.34955403060203066,0.1498611629159932,0.08374149255315604
1,3,383,291,111453,0.40873487085987814,0.4821301220522692,0.5507971970247548,0.2057052599194756
2,0,1418,988,1400984,0.00837033741156787,0.049988098159300096,0.9309007097868356,0.0020743125865600788
2,1,1418,181,256658,0.1984781358090533,0.3659448815406949,0.7085226254393006,0.10088016608667452
2,2,1418,63,89334,0.5780295860688763,0.3980023531463033,0.2643786240401191,0.09587863607015051
2,3,1418,291,412638,0.009601550917736611,0.068027930454655,0.9554670195183187,0.0036238856424447062
3,0,673,988,664924,0.05444198931313654,0.19434767420722673,0.8292301075010077,0.03180851271647243
3,1,673,181,121813,0.3372352462228662,0.4425393459065346,0.567821168512392,0.17127063089973654
3,2,673,63,42399,0.66792784000717,0.3675464639289384,0.1851222906200618,0.09085985827590216
3,3,673,291,195843,0.3206934506104584,0.4573912892429367,0.6376842674999872,0.18571380805899015
