model_id,method,n_row_clusters,n_column_clusters,n_blocks,random_state,row_cluster,n_rows,n_activity_0,n_activity_1,activity_1_fraction
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,0,894,384,510,0.5704697986577181
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,1,1037,438,599,0.5776277724204436
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,2,675,262,413,0.6118518518518519
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,3,764,468,296,0.387434554973822
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,4,381,165,216,0.5669291338582677
bistochastic_r6_c2_seed42,bistochastic,6,2,12,42,0,571,241,330,0.5779334500875657
bistochastic_r6_c2_seed42,bistochastic,6,2,12,42,1,381,165,216,0.5669291338582677
bistochastic_r6_c2_seed42,bistochastic,6,2,12,42,2,579,351,228,0.39378238341968913
bistochastic_r6_c2_seed42,bistochastic,6,2,12,42,3,675,262,413,0.6118518518518519
bistochastic_r6_c2_seed42,bistochastic,6,2,12,42,4,829,384,445,0.5367913148371531
bistochastic_r6_c2_seed42,bistochastic,6,2,12,42,5,716,314,402,0.5614525139664804
bistochastic_r6_c3_seed42,bistochastic,6,3,18,42,0,721,317,404,0.5603328710124826
bistochastic_r6_c3_seed42,bistochastic,6,3,18,42,1,678,265,413,0.6091445427728613
bistochastic_r6_c3_seed42,bistochastic,6,3,18,42,2,824,381,443,0.537621359223301
bistochastic_r6_c3_seed42,bistochastic,6,3,18,42,3,378,162,216,0.5714285714285714
bistochastic_r6_c3_seed42,bistochastic,6,3,18,42,4,568,239,329,0.579225352112676
bistochastic_r6_c3_seed42,bistochastic,6,3,18,42,5,582,353,229,0.39347079037800686
bistochastic_r6_c4_seed42,bistochastic,6,4,24,42,0,721,317,404,0.5603328710124826
bistochastic_r6_c4_seed42,bistochastic,6,4,24,42,1,678,265,413,0.6091445427728613
bistochastic_r6_c4_seed42,bistochastic,6,4,24,42,2,824,381,443,0.537621359223301
bistochastic_r6_c4_seed42,bistochastic,6,4,24,42,3,378,162,216,0.5714285714285714
bistochastic_r6_c4_seed42,bistochastic,6,4,24,42,4,568,239,329,0.579225352112676
bistochastic_r6_c4_seed42,bistochastic,6,4,24,42,5,582,353,229,0.39347079037800686
bistochastic_r6_c5_seed42,bistochastic,6,5,30,42,0,571,241,330,0.5779334500875657
bistochastic_r6_c5_seed42,bistochastic,6,5,30,42,1,381,165,216,0.5669291338582677
bistochastic_r6_c5_seed42,bistochastic,6,5,30,42,2,579,351,228,0.39378238341968913
bistochastic_r6_c5_seed42,bistochastic,6,5,30,42,3,675,262,413,0.6118518518518519
bistochastic_r6_c5_seed42,bistochastic,6,5,30,42,4,829,384,445,0.5367913148371531
bistochastic_r6_c5_seed42,bistochastic,6,5,30,42,5,716,314,402,0.5614525139664804
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,0,571,241,330,0.5779334500875657
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,1,381,165,216,0.5669291338582677
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,2,579,351,228,0.39378238341968913
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,3,675,262,413,0.6118518518518519
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,4,829,384,445,0.5367913148371531
bistochastic_r6_c6_seed42,bistochastic,6,6,36,42,5,716,314,402,0.5614525139664804
