method,n_row_clusters,n_column_clusters,n_blocks,block_r2_mean,block_r2_std,weighted_h_score_mean,weighted_h_score_std,within_block_sse_mean,within_block_sse_std,block_mean_range_mean,block_mean_range_std,block_zero_fraction_range_mean,block_zero_fraction_range_std,feature_type_nmi_mean,feature_type_nmi_std,sparse_flag_nmi_mean,sparse_flag_nmi_std,feature_zero_fraction_eta2_mean,feature_zero_fraction_eta2_std,smallest_row_cluster_fraction_mean,smallest_row_cluster_fraction_std,largest_row_cluster_fraction_mean,largest_row_cluster_fraction_std,row_cluster_entropy_mean,row_cluster_entropy_std,smallest_column_cluster_fraction_mean,smallest_column_cluster_fraction_std,largest_column_cluster_fraction_mean,largest_column_cluster_fraction_std,column_cluster_entropy_mean,column_cluster_entropy_std,row_labels_pairwise_ari,column_labels_pairwise_ari
bistochastic,6,6,36,0.384733507717263,,0.03966670657033357,,270776.51970971876,,0.7898916475230447,,0.9065823758062449,,0.15919388371126583,,0.27174458857761674,,0.43565241349198214,,0.10157291388962943,,0.2210077312716609,,0.985418308955195,,0.026920551543007223,,0.618516086671044,,0.6764551270086508,,,
bistochastic,5,6,30,0.3834784663266019,,0.040770703810627376,,271328.85880849534,,0.7747046829816961,,0.9001423632296115,,0.15427880707307007,,0.2745743527294374,,0.4366571717799038,,0.10157291388962943,,0.2764596107704612,,0.9706827830179721,,0.028890347997373604,,0.6178594878529219,,0.6791310067708716,,,
bistochastic,4,6,24,0.3806029305804375,,0.04047760513275997,,272594.3715113868,,0.7652232901547957,,0.8901376928100245,,0.15427880707307007,,0.2745743527294374,,0.4366571717799038,,0.10157291388962943,,0.37803252466009063,,0.920075117028649,,0.028890347997373604,,0.6178594878529219,,0.6791310067708716,,,
bistochastic,3,6,18,0.37846273028734756,,0.040653683345097336,,273536.2657866536,,0.7652232901547957,,0.8901376928100245,,0.15427880707307007,,0.2745743527294374,,0.4366571717799038,,0.28152492668621704,,0.37803252466009063,,0.9934469035701733,,0.028890347997373604,,0.6178594878529219,,0.6791310067708716,,,
bistochastic,6,5,30,0.3763296595664487,,0.03975006794297737,,274475.0223634286,,0.7727232058660205,,0.8954419446883566,,0.15027531133365435,,0.2914233133114416,,0.4298207166365455,,0.10157291388962943,,0.2210077312716609,,0.985418308955195,,0.02954694681549573,,0.6401838476690742,,0.6865464484235566,,,
bistochastic,5,5,25,0.37417549172518594,,0.040859261852531935,,275423.06370526017,,0.7746683710548161,,0.9000947668469366,,0.15310541875616726,,0.29070025692804646,,0.4298809340479064,,0.10157291388962943,,0.2764596107704612,,0.9706827830179721,,0.028890347997373604,,0.6414970453053185,,0.6835438062681373,,,
bistochastic,4,5,20,0.371371044480464,,0.04057163963731281,,276657.29062019894,,0.765360266867241,,0.8902390604260952,,0.15310541875616726,,0.29070025692804646,,0.4298809340479064,,0.10157291388962943,,0.37803252466009063,,0.920075117028649,,0.028890347997373604,,0.6414970453053185,,0.6835438062681373,,,
bistochastic,3,5,15,0.3693411126697851,,0.04075621263028214,,277550.65614203055,,0.765360266867241,,0.8902390604260952,,0.15310541875616726,,0.29070025692804646,,0.4298809340479064,,0.28152492668621704,,0.37803252466009063,,0.9934469035701733,,0.028890347997373604,,0.6414970453053185,,0.6835438062681373,,,
bistochastic,2,6,12,0.3637940299169853,,0.04315570068516572,,279991.90685401426,,0.7168327255676922,,0.8294938510966385,,0.15919388371126583,,0.27174458857761674,,0.43565241349198214,,0.28152492668621704,,0.718475073313783,,0.8575203186873372,,0.026920551543007223,,0.618516086671044,,0.6764551270086508,,,
bistochastic,6,4,24,0.36029249292219134,,0.03988298444523943,,281532.9204033909,,0.7403209858194172,,0.8738746394445093,,0.16725705663099782,,0.29773861127367995,,0.38934585972041597,,0.10077312716608905,,0.21967475339909356,,0.9852559110280011,,0.04136572554169402,,0.6533158240315168,,0.7055563275754347,,,
