row_index,baseline_small_cluster,same_cluster_knn_purity,silhouette
0,0,1.0,0.7614572068800194
1,0,1.0,0.5405418201220474
2,0,1.0,0.7809519743016383
3,0,1.0,0.7236459308005024
4,0,1.0,0.748010605646454
5,0,1.0,0.5839997728372415
6,0,1.0,0.7432801379982857
7,0,1.0,0.7027396234154307
8,0,1.0,0.7494591239000854
9,0,1.0,0.7265324210957915
10,0,1.0,0.73639554909464
11,0,1.0,0.6690419086416836
12,0,1.0,0.5856107979067696
13,0,1.0,0.7009961943240174
14,0,1.0,0.7647441730982503
15,0,1.0,0.7342834568114585
16,0,1.0,0.47783049579133224
17,0,1.0,0.733902455168734
18,0,1.0,0.7392303051402384
19,0,1.0,0.7474576074038979
20,0,1.0,0.5189472419829583
21,0,1.0,0.6929163405127318
22,0,1.0,0.6797875463882834
23,0,1.0,0.5905276306090345
24,0,1.0,0.7554808296259432
25,0,1.0,0.7319429447993209
26,0,1.0,0.6793185706979418
27,0,1.0,0.667082856798583
28,0,1.0,0.7195536928120689
29,0,1.0,0.7510489755489461
30,1,0.5,-0.12472218368794101
31,0,1.0,0.7018363742840965
32,0,1.0,0.7477116360279253
33,0,1.0,0.7185326161599411
34,0,1.0,0.7193176943494246
35,0,1.0,0.7107628671185899
36,0,1.0,0.725474706344034
37,0,1.0,0.7461673634979692
38,0,1.0,0.7502484169403227
39,0,1.0,0.7015246564614315
40,0,1.0,0.6954398884390445
41,0,1.0,0.7841326091088111
42,0,1.0,0.7658554590193175
43,0,1.0,0.7355609883791392
44,0,1.0,0.7537258524904393
45,0,1.0,0.7628735268268376
46,0,1.0,0.7804218856233454
47,0,1.0,0.767578207746489
48,0,1.0,0.6016153953989234
49,0,1.0,0.7641204197469551
50,0,1.0,0.6844449513230979
51,0,1.0,0.7108464842062174
52,0,1.0,0.6991959899250638
53,0,1.0,0.7794468862427228
54,0,1.0,0.7345404807861183
55,0,1.0,0.6190734651292797
56,0,1.0,0.7799763161864718
57,0,1.0,0.6724813371575034
58,0,1.0,0.7678049933330673
59,0,1.0,0.4108323436757924
60,0,1.0,0.7592929335726298
61,0,1.0,0.7654027009522139
62,0,1.0,0.7462136337402613
63,0,1.0,0.41874452893070324
64,0,1.0,0.6987755525632819
65,0,1.0,0.6617455334472381
66,0,1.0,0.7622638525057863
67,0,1.0,0.6841535083479917
68,0,1.0,0.7702986393325381
69,0,1.0,0.7426669071832482
70,0,1.0,0.7253995754047006
71,0,1.0,0.7483641308039024
72,0,1.0,0.7634318010885502
73,0,1.0,0.6242148928542568
74,0,1.0,0.7409725559945833
75,0,1.0,0.7431753965305304
76,0,1.0,0.6824760221964602
77,0,1.0,0.7275979708326187
78,0,1.0,0.7540252540147001
79,0,1.0,0.7568616734468594
80,0,1.0,0.693525207104995
81,0,1.0,0.750074885994113
82,0,1.0,0.5744591487348654
83,0,1.0,0.7602633780387429
84,0,1.0,0.7152439646848542
85,0,1.0,0.7759362676167216
86,0,1.0,0.7441599452583936
87,0,1.0,0.7555063399840497
88,0,1.0,0.6567450333075581
89,0,1.0,0.7381229152236353
90,0,1.0,0.6728195759106896
91,0,1.0,0.7305399612259537
92,0,1.0,0.6993042416864199
93,0,1.0,0.7493497905165931
94,1,0.6,-0.2748992819851902
95,0,1.0,0.7216055662369517
96,0,1.0,0.6574752039760695
97,0,1.0,0.7152864042414443
98,0,1.0,0.7135042948748249
99,0,1.0,0.663025234219556
100,0,1.0,0.756204667641306
101,0,1.0,0.7563887622370457
102,0,1.0,0.7688868415672476
103,0,1.0,0.7443116292570461
104,0,1.0,0.7487754114115935
105,0,1.0,0.5705723779258668
106,0,1.0,0.7285313562411473
107,0,1.0,0.7630763815203839
108,0,1.0,0.7433678143148643
109,0,1.0,0.5573134414907075
110,0,1.0,0.6812683916501456
111,0,1.0,0.7436091197712784
112,0,1.0,0.6738967248920137
113,0,1.0,0.742600242225424
114,0,1.0,0.748848238247899
115,0,1.0,0.7833625035969928
116,0,1.0,0.6981893675970868
117,0,1.0,0.7707053768193444
118,0,1.0,0.6451558654561235
119,0,1.0,0.6413051612418188
120,0,1.0,0.7724258090676206
121,0,1.0,0.6673195050450003
122,0,1.0,0.7474257472043541
123,0,1.0,0.7738542908892523
124,0,1.0,0.7197305247748061
125,0,1.0,0.7005735091015578
126,0,1.0,0.7467426794060906
127,0,1.0,0.6915841907995406
128,0,1.0,0.7487039828873692
129,0,1.0,0.6344856035228725
130,0,1.0,0.7556481838855182
131,0,1.0,0.7025212635045308
132,0,1.0,0.7437934879574635
133,0,1.0,0.6201183330064547
134,0,1.0,0.7340586683145575
135,0,1.0,0.7679753908158942
136,0,1.0,0.6786287207890648
137,0,1.0,0.6313416628872034
138,0,1.0,0.6536945230799616
139,0,1.0,0.6449670484016865
140,0,1.0,0.6217012495952965
141,0,1.0,0.7569514576032592
142,0,1.0,0.7434593204787119
143,0,1.0,0.5105784283239085
144,0,1.0,0.7530738471640189
145,0,1.0,0.7303210286291115
146,0,1.0,0.6490749099047645
147,0,1.0,0.7090568326424252
148,0,1.0,0.7072690998023589
149,0,1.0,0.7553766879333896
150,0,1.0,0.7476857740883667
151,0,1.0,0.7555685500906298
152,0,1.0,0.742219399603336
153,0,1.0,0.706294946441055
154,0,1.0,0.5734116175739459
155,0,1.0,0.7656795081810451
156,0,1.0,0.6956742145984006
157,0,1.0,0.6544098822825524
158,0,1.0,0.657125130396562
159,0,1.0,0.7267493794375931
160,0,1.0,0.7086077554405658
161,0,1.0,0.7688704762318768
162,0,1.0,0.7437078318141432
163,0,1.0,0.7049082463680137
164,0,1.0,0.7828820391367066
165,0,1.0,0.7397510557036876
166,0,1.0,0.6121537180921935
167,0,1.0,0.7759430413947864
168,0,1.0,0.7459210371089203
169,0,1.0,0.7653982164525877
170,1,0.6,-0.27814512688412857
171,0,1.0,0.7551321060724561
172,0,1.0,0.7416213080469118
173,0,1.0,0.6895304194100474
174,0,1.0,0.484351338155291
175,0,1.0,0.7584152676297907
176,0,1.0,0.7437807242260838
177,0,1.0,0.5794547762605601
178,0,1.0,0.7454457343376776
179,0,1.0,0.7063667121634353
180,0,1.0,0.7737093825853409
181,0,1.0,0.7636702052795895
182,0,1.0,0.6295246667518304
183,0,1.0,0.7146116466663752
184,0,1.0,0.7591010566357602
185,0,1.0,0.7343912701565601
186,0,1.0,0.740551113788057
187,0,1.0,0.747129704726664
188,0,1.0,0.6820717627630707
189,0,1.0,0.5617510538495462
190,0,1.0,0.7398395555540477
191,0,1.0,0.7150292312639659
192,0,1.0,0.7560794526204005
193,0,1.0,0.7546799109896845
194,0,1.0,0.7241519956152466
195,0,1.0,0.7629324420428617
196,0,1.0,0.4187734002632615
197,0,1.0,0.5002638349933843
198,0,1.0,0.7467063456728967
199,0,1.0,0.4993642420598196
200,0,1.0,0.7334967366708616
201,0,1.0,0.7522175485808743
202,0,1.0,0.6904286018180124
203,0,1.0,0.6999256256513408
204,0,1.0,0.7326722501419367
205,0,1.0,0.7562660777434909
206,0,1.0,0.6920406518806334
207,0,1.0,0.7604939383130599
208,0,1.0,0.6651439628045149
209,1,0.3,-0.33870943429624345
210,0,1.0,0.5603785641030288
211,0,1.0,0.488142784381331
212,0,1.0,0.6447565316520141
213,0,1.0,0.7637442863910734
214,0,1.0,0.7568363993274411
215,1,0.2,-0.2940187509721563
216,0,1.0,0.7615114830310515
217,0,1.0,0.744182962423513
218,0,1.0,0.6466742584516588
219,0,1.0,0.7286559257625392
220,0,1.0,0.7674138095828614
221,0,1.0,0.736211642575889
222,0,1.0,0.7642533160266172
223,0,1.0,0.7398531772293974
224,0,1.0,0.40352526697400437
225,0,1.0,0.7491030585847084
226,0,1.0,0.7743856021373416
227,0,1.0,0.6799244913722448
228,0,1.0,0.7150188295097731
229,0,1.0,0.393783205446869
230,0,1.0,0.7583406712976855
231,0,1.0,0.51400501079034
232,0,1.0,0.7401137975645122
233,0,1.0,0.7528561799758597
234,0,1.0,0.7660270024874617
235,0,1.0,0.7182618137247562
236,0,1.0,0.4555354670350575
237,0,1.0,0.7493632685781662
238,0,1.0,0.7723323739690048
239,0,1.0,0.7174929841784098
240,0,1.0,0.7308507532145263
241,0,1.0,0.7691178154615379
242,0,1.0,0.6059144603489818
243,0,1.0,0.4947136198079886
244,0,1.0,0.7645716161302746
245,0,1.0,0.7469710411698549
246,0,1.0,0.7072106356488224
247,0,1.0,0.6724270855504307
248,0,1.0,0.6340288327612422
249,0,1.0,0.5201767068391241
250,0,1.0,0.761376316747519
251,0,1.0,0.7392588354467152
252,0,1.0,0.7556295257178445
253,0,1.0,0.7644841540231768
254,0,1.0,0.6066561286799546
255,0,1.0,0.7059084291574327
256,0,1.0,0.5805734620903712
257,0,1.0,0.6043011850486785
258,0,1.0,0.7570200090965845
259,0,1.0,0.7132588897804668
260,0,1.0,0.6114759170943989
261,0,1.0,0.6899463920474579
262,0,1.0,0.5927793348120032
263,0,1.0,0.7043703371036429
264,0,1.0,0.6728999498936145
265,0,1.0,0.437599219051382
266,0,1.0,0.4993683800603972
267,0,1.0,0.7546123907410989
268,0,1.0,0.7550502084010825
269,0,1.0,0.7502849820629284
270,0,1.0,0.7591329708370481
271,0,1.0,0.6167835052004165
272,0,1.0,0.7700990952325781
273,0,1.0,0.7104146583234836
274,0,1.0,0.7601365752708701
275,0,1.0,0.7553570278420809
276,0,1.0,0.7431005789328013
277,0,1.0,0.7140902345343021
278,0,1.0,0.7450642306445219
279,0,1.0,0.7521746182092854
280,0,1.0,0.6379553847833693
281,0,1.0,0.7523351092291188
282,0,1.0,0.6125242339942802
283,0,1.0,0.7642702582680599
284,0,1.0,0.5500281865531886
285,0,1.0,0.5185031589332585
286,1,1.0,0.02345242731978991
287,0,1.0,0.7793364139255301
288,0,1.0,0.7573079027629359
289,0,1.0,0.7378488860002793
290,0,1.0,0.7546338527041309
291,0,1.0,0.6783278746048715
292,0,1.0,0.7182933160173336
293,0,1.0,0.773216671865198
294,0,1.0,0.7575785828061041
295,0,1.0,0.6949232150235901
296,0,1.0,0.771159143122505
297,0,1.0,0.6825600790304641
298,0,1.0,0.7027158975194457
299,0,1.0,0.735524518420529
300,0,1.0,0.7181446857302405
301,0,1.0,0.7749434720982904
302,0,1.0,0.7296807410052917
303,0,1.0,0.7385362778775826
304,0,1.0,0.751624286190307
305,0,1.0,0.6889458679225353
306,0,1.0,0.6800845161843054
307,0,1.0,0.7740094400569635
308,0,1.0,0.7623042862992071
309,0,1.0,0.7607037924834866
310,1,0.0,-0.26366831811247343
311,0,1.0,0.704664693388114
312,0,1.0,0.7164860744246788
313,0,1.0,0.7583862403418701
314,0,1.0,0.7641764367227473
315,0,1.0,0.7045704770814697
316,0,1.0,0.5898545524682662
317,0,1.0,0.7584244177636575
318,0,1.0,0.5905401935234589
319,0,1.0,0.7745625244278399
320,0,1.0,0.7443534614966927
321,0,1.0,0.5380640224004413
322,0,1.0,0.7719859606259787
323,0,1.0,0.7691668502965435
324,0,1.0,0.7400658099847105
325,0,1.0,0.7245081164310065
326,0,1.0,0.7273200014210817
327,0,1.0,0.6479479109172264
328,0,1.0,0.5307605045001782
329,0,1.0,0.7288528720008646
330,0,1.0,0.7230268160444059
331,0,1.0,0.7027113585184799
332,0,1.0,0.7585282058225375
333,0,1.0,0.5430514336665218
334,0,1.0,0.7650839454014998
335,0,1.0,0.7724618339582408
336,0,1.0,0.7608726375254867
337,0,1.0,0.766143714090494
338,0,1.0,0.6408494109279927
339,0,1.0,0.7184165645281427
340,0,1.0,0.5935626824218598
341,0,1.0,0.6520033118420858
342,0,1.0,0.7628880902842006
343,0,1.0,0.6327343018246683
344,0,1.0,0.7320985446656748
345,0,1.0,0.5259307476932359
346,0,1.0,0.6460914068991559
347,0,1.0,0.6713863216558207
348,0,1.0,0.76606182125493
349,0,1.0,0.7619430286445016
350,0,1.0,0.7724892881186408
351,0,1.0,0.7635979105181391
352,0,1.0,0.750234978874795
353,0,1.0,0.7547893319539336
354,0,1.0,0.5808135231461016
355,0,1.0,0.7454521540284001
356,0,1.0,0.7707263744846935
357,0,1.0,0.7498196635419635
358,0,1.0,0.6393734134493533
359,0,1.0,0.7024777514394234
360,0,1.0,0.7366513154634664
361,0,1.0,0.7375436277062019
362,0,1.0,0.7351505249754902
363,0,1.0,0.6131493138535651
364,0,1.0,0.7398529229701849
365,0,1.0,0.7526331034604185
366,0,1.0,0.6198109292158044
367,0,1.0,0.7504954279804166
368,0,1.0,0.5625383931144865
369,0,1.0,0.7104142253226853
370,0,1.0,0.7563696984024475
371,0,1.0,0.7509980314112713
372,0,1.0,0.7705284716486199
373,0,1.0,0.7635266999629451
374,0,1.0,0.7601528612691245
375,0,1.0,0.7673347460056541
376,0,1.0,0.7611841875695542
377,1,0.6,-0.07219108962091388
378,0,1.0,0.7296889321384434
379,0,1.0,0.6961142965555961
380,0,1.0,0.7608999314875525
381,0,1.0,0.7146476025926641
382,0,1.0,0.6706901313637158
383,0,1.0,0.578647984598022
384,0,1.0,0.508164621016778
385,0,1.0,0.7342269116488125
386,0,1.0,0.7706270101797005
387,0,1.0,0.7592487648676328
388,0,1.0,0.7448352274125404
389,0,1.0,0.7494617846889666
390,0,1.0,0.7451737595567102
391,0,1.0,0.7267081695782505
392,0,1.0,0.7607018839218913
393,0,1.0,0.7573541488465627
394,0,1.0,0.7719848157618013
395,0,1.0,0.7770975461034033
396,0,1.0,0.7492027659402112
397,0,1.0,0.7500501626295403
398,1,0.3,-0.2997623252301878
399,0,1.0,0.7460839884022648
400,0,1.0,0.7248398878517078
401,0,1.0,0.7479540775134428
402,0,1.0,0.7558731780318977
403,0,1.0,0.6688302121858061
404,0,1.0,0.7768375356260281
405,0,1.0,0.7471030969284359
406,0,1.0,0.7363061485799224
407,0,1.0,0.7391835612903985
408,0,1.0,0.7442297897521936
409,0,1.0,0.7633085923016377
410,0,1.0,0.6501057587215269
411,0,1.0,0.757705133050716
412,0,1.0,0.7149075554597794
413,0,1.0,0.768436793098426
414,0,1.0,0.7135613326716105
415,0,1.0,0.7363788286473307
416,0,1.0,0.7197404074214734
417,0,1.0,0.763006437954585
418,0,1.0,0.7141253332628578
419,0,1.0,0.711256988216041
420,1,0.9,-0.02632558673620139
421,0,1.0,0.752088913867725
422,0,1.0,0.733847509697116
423,0,1.0,0.6795580351508186
424,0,1.0,0.6866035030181833
425,0,1.0,0.5863884754834172
426,0,1.0,0.7697357012101784
427,0,1.0,0.5697217279429544
428,0,1.0,0.7433003037721904
429,0,1.0,0.7509758947738735
430,0,1.0,0.7381996095400014
431,0,1.0,0.5254739460612003
432,0,1.0,0.24016806706376873
433,0,1.0,0.48747463395628143
434,0,1.0,0.7154198740822834
435,0,1.0,0.6378705603593151
436,0,1.0,0.7639476155553439
437,0,1.0,0.6311459082140812
438,0,1.0,0.72287329722102
439,0,1.0,0.7690647214349026
440,0,1.0,0.7573919004452431
441,0,1.0,0.7207479444530588
442,0,1.0,0.7172494031174911
443,0,1.0,0.7466811176661564
444,1,0.6,-0.15941345163695553
445,0,1.0,0.7595796746286007
446,0,1.0,0.7629358797649947
447,0,1.0,0.7486620125396442
448,0,1.0,0.7296130174999602
449,0,1.0,0.7181960569357555
450,0,1.0,0.7154087279804227
451,0,1.0,0.7607453139676286
452,0,1.0,0.7636761962630854
453,0,1.0,0.7119145844887503
454,0,1.0,0.7111667401019027
455,0,1.0,0.7417784928186419
456,0,1.0,0.7445846256588875
457,0,1.0,0.7736246280447646
458,0,1.0,0.7426406485512136
459,0,1.0,0.7670195409023876
460,0,1.0,0.7437786621136498
461,0,1.0,0.6011594572115341
462,0,1.0,0.6356443850930492
463,0,1.0,0.6825104519374906
464,0,1.0,0.6934194201775976
