metric,cluster_0_mean,cluster_1_mean,cluster_0_median,cluster_1_median,mean_difference_1_minus_0,median_difference_1_minus_0,cohen_d_1_minus_0,mann_whitney_u,mann_whitney_p_value,rank_biserial_1_minus_0,mann_whitney_p_fdr_bh,significant_fdr_0.05,absolute_cohen_d
l1_norm_standardized,295.02569142166163,1317.6454754180604,262.8692526882115,1082.3920796300388,1022.6197839963988,819.5228269418274,7.2958512581768185,268302.0,1.782108698524848e-48,0.9985698004424679,6.415591314689453e-48,True,7.2958512581768185
PC1,-1.04062606248824,52.43044736755819,-2.56669529389589,41.62723297684611,53.47107343004643,44.193928270742,7.122215383953128,268452.0,1.4007770026380984e-48,0.9996871438467898,6.415591314689453e-48,True,7.122215383953128
distance_to_global_centroid_pca,18.723721304011356,88.82631746864975,15.653723346004165,80.52862478491213,70.10259616463838,64.87490143890795,6.175940596245654,267439.0,7.084049360297503e-48,0.9921413513896027,1.5939111060669383e-47,True,6.175940596245654
raw_mean,0.06362527942828718,0.15990515228587762,0.061256112003597124,0.14150067075251788,0.09627987285759045,0.08024455874892075,6.053521349770243,268377.0,1.5800327192516425e-48,0.999128472144629,6.415591314689453e-48,True,6.053521349770243
raw_sum,44.2195692026596,111.13408083868492,42.5729978425,98.34296617299992,66.91451163602532,55.76996833049992,6.0535213497702385,268377.0,1.5800327192516425e-48,0.999128472144629,6.415591314689453e-48,True,6.0535213497702385
l1_norm_raw,44.2195692026596,111.13408083868492,42.5729978425,98.34296617299992,66.91451163602532,55.76996833049992,6.0535213497702385,268377.0,1.5800327192516425e-48,0.999128472144629,6.415591314689453e-48,True,6.0535213497702385
l2_norm_standardized,20.183671010767632,90.54849738822695,16.98659882085652,81.35706917123345,70.36482637745931,64.37047035037693,6.032515398125781,267456.0,6.894650082351624e-48,0.9922679836420925,1.5939111060669383e-47,True,6.032515398125781
l2_norm_raw,4.731000505097534,7.407137181111509,4.681552708890589,6.951691504136722,2.676136676013975,2.270138795246133,5.965128026131904,267918.0,3.2968035831971584e-48,0.9957094013274039,9.890410749591475e-48,True,5.965128026131904
distance_to_own_centroid_pca,18.60049454075077,74.71253379145767,15.469825226113292,65.85161188245584,56.1120392507069,50.38178665634255,5.103875805198736,266511.0,3.093795909210103e-47,0.9852287201948646,6.187591818420206e-47,True,5.103875805198736
zero_fraction,0.7566021570997689,0.502355375973194,0.7654676258992805,0.4935251798561151,-0.25424678112657484,-0.2719424460431654,-3.8289740993720036,2731.5,1.002856502241819e-46,-0.9796531766072984,1.2034278026901827e-46,True,3.8289740993720036
nonzero_count,169.16150081566067,345.86301369863014,163.0,352.0,176.70151288296947,189.0,3.8289740993720027,265762.5,1.002856502241819e-46,0.9796531766072984,1.2034278026901827e-46,True,3.8289740993720027
nonzero_fraction,0.24339784290023123,0.4976446240268059,0.23453237410071942,0.5064748201438849,0.25424678112657473,0.2719424460431655,3.8289740993720027,265762.5,1.002856502241819e-46,0.9796531766072984,1.2034278026901827e-46,True,3.8289740993720027
positive_count,169.16150081566067,345.86301369863014,163.0,352.0,176.70151288296947,189.0,3.8289740993720027,265762.5,1.002856502241819e-46,0.9796531766072984,1.2034278026901827e-46,True,3.8289740993720027
positive_fraction,0.24339784290023123,0.4976446240268059,0.23453237410071942,0.5064748201438849,0.25424678112657473,0.2719424460431655,3.8289740993720027,265762.5,1.002856502241819e-46,0.9796531766072984,1.2034278026901827e-46,True,3.8289740993720027
zero_count,525.8384991843393,349.13698630136986,532.0,343.0,-176.70151288296944,-189.0,-3.8289740993720023,2731.5,1.002856502241819e-46,-0.9796531766072984,1.2034278026901827e-46,True,3.8289740993720023
positive_mean,0.26636963068905833,0.31967400187998596,0.26027500310973506,0.31071481880494506,0.053304371190927624,0.05043981569521,1.6517403857711843,206776.0,2.4545963388376888e-15,0.5402653318137463,2.7614208811924e-15,True,1.6517403857711843
raw_max,0.9999304340829254,1.0,1.0,1.0,6.956591707463211e-05,0.0,0.05529587635561889,134648.5,0.6402892705811885,0.0029907558455681826,0.6402892705811885,False,0.05529587635561889
PC2,-0.006044724719583464,0.30455476052913666,-0.1007475234162189,-8.674519347789674,0.3105994852487201,-8.573771824373456,0.05221218589438752,118839.0,0.09264538372356688,-0.11477351449194395,0.09809511217789435,False,0.05221218589438752
