cluster,direction,rank,feature,difference_from_global_mean,cluster_mean,global_mean
0,positive,1,D990,0.39803503379490957,0.9117647058823529,0.5137296720874434
0,positive,2,D1012,0.33288153971265927,0.6554621848739496,0.3225806451612903
0,positive,3,D968,0.29446900061010806,0.7212885154061625,0.4268195147960544
0,positive,4,D993,0.2854047510766503,0.7212885154061625,0.43588376432951215
0,positive,5,D972,0.2350198677178149,0.7738095238095238,0.5387896560917089
0,positive,6,D1064,0.23248067555467927,0.5140056022408963,0.28152492668621704
0,positive,7,D962,0.1991201972657899,0.6099439775910365,0.4108237803252466
0,positive,8,D1000,0.17324549121168065,0.5875350140056023,0.4142895227939216
0,positive,9,D1033,0.17186229330441855,0.46218487394957986,0.2903225806451613
0,positive,10,D992,0.17103562299353225,0.6218487394957983,0.4508131165022661
0,positive,11,D997,0.1651335554216355,0.46638655462184875,0.30125299920021326
0,positive,12,D960,0.16149082933626663,0.6008403361344538,0.43934950679818713
0,positive,13,D981,0.15136318457001574,0.8053221288515406,0.6539589442815249
0,positive,14,D1003,0.14068386618843753,0.4320728291316527,0.29138896294321515
0,positive,15,D1047,0.12967634401134487,0.46638655462184875,0.3367102106105039
0,negative,1,D1176,-0.5793121834177553,0.0,0.5793121834177553
0,negative,2,D1109,-0.5630498533724341,0.0,0.5630498533724341
0,negative,3,D1190,-0.5449213543055186,0.0,0.5449213543055186
0,negative,4,D1128,-0.5438549720074647,0.0,0.5438549720074647
0,negative,5,D1096,-0.5131964809384164,0.0,0.5131964809384164
0,negative,6,D1159,-0.49986670221274326,0.0,0.49986670221274326
0,negative,7,D1118,-0.4636097040789123,0.0,0.4636097040789123
0,negative,8,D1125,-0.44868035190615835,0.0,0.44868035190615835
0,negative,9,D1149,-0.4454812050119968,0.0,0.4454812050119968
0,negative,10,D1133,-0.4409490802452679,0.0,0.4409490802452679
0,negative,11,D1173,-0.43348440415889095,0.0,0.43348440415889095
0,negative,12,D1160,-0.3985603838976273,0.0,0.3985603838976273
0,negative,13,D1143,-0.39696081045054654,0.0,0.39696081045054654
0,negative,14,D1201,-0.3671021061050387,0.0,0.3671021061050387
0,negative,15,D1083,-0.3657691282324713,0.0,0.3657691282324713
1,positive,1,D1100,0.5279920092868684,0.8500394632991318,0.3220474540122634
1,positive,2,D1088,0.5207449021223911,0.8737174427782163,0.3529725406558251
1,positive,3,D1200,0.5176614833781763,0.8650355169692187,0.3473740335910424
1,positive,4,D1201,0.5074046026558138,0.8745067087608525,0.3671021061050387
1,positive,5,D1160,0.5035706342554902,0.9021310181531176,0.3985603838976273
1,positive,6,D1090,0.4990208346440423,0.8634569850039463,0.364436150359904
1,positive,7,D1118,0.4377320480915691,0.9013417521704814,0.4636097040789123
1,positive,8,D1190,0.4053548887884041,0.9502762430939227,0.5449213543055186
1,positive,9,D1121,0.4022813595406392,0.760852407261247,0.3585710477206078
1,positive,10,D1117,0.3912455231617267,0.7087608524072613,0.31751532924553455
1,positive,11,D1140,0.3716822054502909,0.6764009471191792,0.3047187416688883
1,positive,12,D1096,0.3699921536314337,0.8831886345698501,0.5131964809384164
1,positive,13,D1128,0.3653794399893783,0.909234411996843,0.5438549720074647
1,positive,14,D1152,0.3476147481429314,0.6219415943172849,0.2743268461743535
1,positive,15,D1044,0.33862856250698314,0.8760852407261247,0.5374566782191416
1,negative,1,D1337,-0.24526792855238602,0.0,0.24526792855238602
1,negative,2,D1366,-0.2404692082111437,0.0,0.2404692082111437
1,negative,3,D1232,-0.23513729672087444,0.0,0.23513729672087444
1,negative,4,D1406,-0.23433750999733405,0.0,0.23433750999733405
1,negative,5,D1012,-0.2341828551060417,0.08839779005524862,0.3225806451612903
1,negative,6,D1385,-0.2295387896560917,0.0,0.2295387896560917
1,negative,7,D1299,-0.22900559850706478,0.0,0.22900559850706478
1,negative,8,D1266,-0.2260730471874167,0.0,0.2260730471874167
1,negative,9,D1241,-0.21674220207944547,0.0,0.21674220207944547
1,negative,10,D1285,-0.21487603305785125,0.0,0.21487603305785125
1,negative,11,D1403,-0.21407624633431085,0.0,0.21407624633431085
1,negative,12,D1397,-0.2122100773127166,0.0,0.2122100773127166
1,negative,13,D1315,-0.2028792322047454,0.0,0.2028792322047454
1,negative,14,D1244,-0.20127965875766463,0.0,0.20127965875766463
1,negative,15,D968,-0.19635384786629909,0.23046566692975531,0.4268195147960544
2,positive,1,D1337,0.6259441926597352,0.8712121212121212,0.24526792855238602
2,positive,2,D1366,0.6136974584555229,0.8541666666666666,0.2404692082111437
2,positive,3,D1232,0.6000899760063982,0.8352272727272727,0.23513729672087444
2,positive,4,D1406,0.5980488536390296,0.8323863636363636,0.23433750999733405
2,positive,5,D1385,0.5858021194348173,0.8153409090909091,0.2295387896560917
2,positive,6,D1299,0.5844413711899049,0.8134469696969697,0.22900559850706478
2,positive,7,D1266,0.5769572558428863,0.803030303030303,0.2260730471874167
2,positive,8,D1241,0.5531441615569181,0.7698863636363636,0.21674220207944547
2,positive,9,D1285,0.5483815426997245,0.7632575757575758,0.21487603305785125
2,positive,10,D1403,0.5463404203323557,0.7604166666666666,0.21407624633431085
2,positive,11,D1397,0.5415778014751622,0.7537878787878788,0.2122100773127166
2,positive,12,D1315,0.517764707189194,0.7206439393939394,0.2028792322047454
2,positive,13,D1244,0.5136824624544566,0.7149621212121212,0.20127965875766463
2,positive,14,D1376,0.5007553541277882,0.696969696969697,0.19621434284190883
2,positive,15,D1291,0.4987142317604194,0.6941287878787878,0.19541455611836844
2,negative,1,D990,-0.38399482360259485,0.12973484848484848,0.5137296720874434
2,negative,2,D974,-0.35966520039100686,0.2708333333333333,0.6304985337243402
2,negative,3,D1044,-0.35185061761308095,0.1856060606060606,0.5374566782191416
2,negative,4,D992,-0.29835099529014486,0.15246212121212122,0.4508131165022661
2,negative,5,D993,-0.1991413400870879,0.23674242424242425,0.43588376432951215
2,negative,6,D1100,-0.19799442370923312,0.1240530303030303,0.3220474540122634
2,negative,7,D978,-0.1948647027459344,0.16477272727272727,0.35963743001866166
2,negative,8,D1012,-0.1691715542521994,0.1534090909090909,0.3225806451612903
2,negative,9,D1005,-0.16755809561894608,0.4725378787878788,0.6400959744068249
2,negative,10,D968,-0.16261496934150893,0.26420454545454547,0.4268195147960544
2,negative,11,D975,-0.15466708877632634,0.22443181818181818,0.3790989069581445
2,negative,12,D1200,-0.15135130631831514,0.19602272727272727,0.3473740335910424
2,negative,13,D960,-0.15052374922242956,0.28882575757575757,0.43934950679818713
2,negative,14,D1016,-0.15035434995112407,0.509469696969697,0.6598240469208211
2,negative,15,D1088,-0.14748011641340086,0.20549242424242425,0.3529725406558251
