k,pairwise_ari
2,0.998879146696343
2,0.998879146696343
2,1.0
2,0.9977591513435343
2,0.9955217315237213
2,0.998879146696343
2,0.9932877346172951
2,0.998879146696343
2,0.998879146696343
2,0.998879146696343
2,0.9921720179100432
2,0.9944043055759012
2,0.9955217315237213
2,0.9955217315237213
2,0.9921720179100432
2,0.998879146696343
2,0.9932877346172951
2,0.998879146696343
2,0.998879146696343
2,0.998879146696343
2,0.998879146696343
2,1.0
2,0.9966400131996331
2,0.9966400131996331
2,0.9955217315237213
2,0.9932877346172951
2,0.998879146696343
2,0.9977591513435343
2,0.998879146696343
2,1.0
2,0.998879146696343
2,0.9988794064548219
2,0.9966407890451398
2,1.0
2,0.9944055929531237
2,1.0
2,1.0
2,1.0
2,0.993289276058838
2,0.9955227637031576
2,0.9966407890451398
2,0.9966407890451398
2,0.993289276058838
2,1.0
2,0.9944055929531237
2,1.0
2,1.0
2,1.0
2,1.0
2,0.998879146696343
2,0.9977596697162844
2,0.9977596697162844
2,0.9966407890451398
2,0.9944055929531237
2,1.0
2,0.9988794064548219
2,1.0
2,0.998879146696343
2,0.9988794064548219
2,0.9966407890451398
2,1.0
2,0.9944055929531237
2,1.0
2,1.0
2,1.0
2,0.993289276058838
2,0.9955227637031576
2,0.9966407890451398
2,0.9966407890451398
2,0.993289276058838
2,1.0
2,0.9944055929531237
2,1.0
2,1.0
2,1.0
2,1.0
2,0.998879146696343
2,0.9977596697162844
2,0.9977596697162844
2,0.9966407890451398
2,0.9944055929531237
2,1.0
2,0.9988794064548219
2,1.0
2,0.9977591513435343
2,0.9955217315237213
2,0.998879146696343
2,0.9932877346172951
2,0.998879146696343
2,0.998879146696343
2,0.998879146696343
2,0.9921720179100432
2,0.9944043055759012
2,0.9955217315237213
2,0.9955217315237213
2,0.9921720179100432
2,0.998879146696343
2,0.9932877346172951
2,0.998879146696343
2,0.998879146696343
2,0.998879146696343
2,0.998879146696343
2,1.0
2,0.9966400131996331
2,0.9966400131996331
2,0.9955217315237213
2,0.9932877346172951
2,0.998879146696343
2,0.9977591513435343
2,0.998879146696343
2,0.9977601860838854
2,0.9988794064548219
2,0.9955237918876777
2,0.9988794064548219
2,0.9988794064548219
2,0.9988794064548219
2,0.9944068753462891
2,0.9966415618886959
2,0.9977601860838854
2,0.9977601860838854
2,0.9944068753462891
2,0.9988794064548219
2,0.9955237918876777
2,0.9988794064548219
2,0.9988794064548219
2,0.9988794064548219
2,0.9988794064548219
2,0.9977591513435343
2,0.9988796652087985
2,0.9988796652087985
2,0.9977601860838854
2,0.9955237918876777
2,0.9988794064548219
2,0.9977596694214432
2,0.9988794064548219
2,0.9966407890451398
2,0.9977612128300922
2,0.9966407890451398
2,0.9966407890451398
2,0.9966407890451398
2,0.9966430986095532
2,0.998880179716498
2,1.0
2,1.0
2,0.9966430986095532
2,0.9966407890451398
2,0.9977612128300922
2,0.9966407890451398
2,0.9966407890451398
2,0.9966407890451398
2,0.9966407890451398
2,0.9955217315237213
2,0.998879922961589
2,0.998879922961589
2,0.9977607001597231
2,0.9977612128300922
2,0.9966407890451398
2,0.9977601860838854
2,0.9966407890451398
2,0.9944055929531237
2,1.0
2,1.0
2,1.0
2,0.993289276058838
2,0.9955227637031576
2,0.9966407890451398
2,0.9966407890451398
2,0.993289276058838
2,1.0
2,0.9944055929531237
2,1.0
2,1.0
2,1.0
2,1.0
2,0.998879146696343
2,0.9977596697162844
2,0.9977596697162844
2,0.9966407890451398
2,0.9944055929531237
2,1.0
2,0.9988794064548219
2,1.0
2,0.9944055929531237
2,0.9944055929531237
2,0.9944055929531237
2,0.9988806902458293
2,0.9988804354768178
2,0.9977612128300922
2,0.9977612128300922
2,0.9988806902458293
2,0.9944055929531237
2,1.0
2,0.9944055929531237
2,0.9944055929531237
2,0.9944055929531237
2,0.9944055929531237
2,0.9932877346172951
2,0.9966423317402098
2,0.9966423317402098
2,0.9977612128300922
2,1.0
2,0.9944055929531237
2,0.9955237918876777
2,0.9944055929531237
2,1.0
2,1.0
2,0.993289276058838
2,0.9955227637031576
2,0.9966407890451398
2,0.9966407890451398
2,0.993289276058838
2,1.0
2,0.9944055929531237
2,1.0
2,1.0
2,1.0
2,1.0
2,0.998879146696343
2,0.9977596697162844
2,0.9977596697162844
2,0.9966407890451398
2,0.9944055929531237
2,1.0
2,0.9988794064548219
2,1.0
2,1.0
2,0.993289276058838
2,0.9955227637031576
2,0.9966407890451398
2,0.9966407890451398
2,0.993289276058838
2,1.0
2,0.9944055929531237
2,1.0
2,1.0
2,1.0
2,1.0
