repeat,split_seed,kmeans_seed,k,n_train,n_validation,n_components,retained_variance,validation_silhouette,validation_calinski_harabasz,validation_davies_bouldin,train_inertia,minimum_cluster_fraction,maximum_cluster_fraction,empty_clusters_in_validation
0,2684470948,826368593,2,3001,750,91,0.900082186867953,0.11711216313409055,77.8577933168481,2.6366254038000596,12509.769925315419,0.2649960010663823,0.7350039989336177,0
0,2684470948,1861331194,3,3001,750,91,0.900082186867953,0.1006297244625062,65.11417645135356,2.7837072633721065,11607.01017242081,0.21354305518528394,0.5449213543055186,0
0,2684470948,1462585037,4,3001,750,91,0.900082186867953,0.09079235197694849,60.2126064869136,2.633890212973428,10981.422064695944,0.02932551319648094,0.39429485470541187,0
0,2684470948,1944133417,5,3001,750,91,0.900082186867953,0.08447436459386917,55.60369726210889,2.515081707588559,10542.756429440373,0.029058917621967474,0.339109570781125,0
0,2684470948,689588949,6,3001,750,91,0.900082186867953,0.08887796454977531,52.70871900023439,2.51929109635558,10200.3203546708,0.018928285790455877,0.23673687016795522,0
0,2684470948,1615411551,7,3001,750,91,0.900082186867953,0.09709343329028207,52.207261865361374,2.268295231097016,9880.724913217266,0.011463609704078913,0.26472940549186885,0
0,2684470948,527877776,8,3001,750,91,0.900082186867953,0.0854318641304772,48.71684294228308,2.2902548677671426,9636.885851654555,0.006131698213809651,0.23460410557184752,0
0,2684470948,115638889,9,3001,750,91,0.900082186867953,0.08808353211202677,44.39035770408631,2.1372288095609324,9445.208907177128,0.006398293788323114,0.22767262063449747,0
0,2684470948,1339781958,10,3001,750,91,0.900082186867953,0.08728606964986736,45.952271387695546,2.2416311237422275,9254.805093158213,0.0007997867235403892,0.20234604105571846,1
1,4091952314,489831997,2,3001,750,92,0.9006675784817761,0.1135330362354635,73.07115069391686,2.6699194771217596,12595.774317238356,0.26526259664089574,0.7347374033591042,0
1,4091952314,1923408461,3,3001,750,92,0.9006675784817761,0.10837664780177594,66.87265297648864,2.6743504373245575,11717.165311566478,0.19621434284190883,0.5611836843508398,0
1,4091952314,587432153,4,3001,750,92,0.9006675784817761,0.09397585338468267,58.963660631852484,2.4743598642191365,11060.598176476047,0.020261263663023193,0.3977605971740869,0
1,4091952314,526632602,5,3001,750,92,0.9006675784817761,0.07466224650560736,50.47623473308222,2.438833434003874,10626.54699382864,0.009864036256998134,0.3591042388696348,0
1,4091952314,227418092,6,3001,750,92,0.9006675784817761,0.07817587331068684,47.009828810340075,2.2581644815897004,10221.29311794899,0.006131698213809651,0.3153825646494268,0
1,4091952314,1021730318,7,3001,750,92,0.9006675784817761,0.08775189078484003,46.43984553854036,2.188776984156353,9909.328989665086,0.006131698213809651,0.2697947214076246,0
1,4091952314,2114035149,8,3001,750,92,0.9006675784817761,0.08342857906331494,45.38214043661963,2.2079599248154227,9663.538665746912,0.0007997867235403892,0.2641962143428419,1
1,4091952314,928747395,9,3001,750,92,0.9006675784817761,0.07626824725548143,44.144871279117275,2.2564271520732877,9444.374781692555,0.0007997867235403892,0.23860303918954945,1
1,4091952314,771730199,10,3001,750,92,0.9006675784817761,0.08076457309143857,38.630471448993454,2.2989399668658206,9301.02457800484,0.006131698213809651,0.2007464676086377,0
2,233227757,393016463,2,3001,750,91,0.9004208658047196,0.1188867018047901,73.47348096202217,2.6415182893837774,12459.528578664354,0.26526259664089574,0.7347374033591042,0
