gower_configuration,numerical_block_weight,binary_block_weight,sigma_reference_median,sigma_multiplier,sigma,k,gower_silhouette,spectral_silhouette,eigengap,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,2,0.4371329195341042,0.9750607844695014,0.20942295057604143,False,188,55,3696,"[3696, 55]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,3,0.2756461899117235,0.734008944911814,0.13541142587113936,False,188,152,3048,"[3048, 152, 551]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,4,0.06909478881231525,0.5939487550622408,0.020522645159475716,True,188,596,1365,"[1365, 990, 596, 800]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,5,0.07453570548204798,0.5964815178665006,0.036328294736114985,False,188,57,1360,"[993, 1360, 824, 517, 57]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,6,0.08360971457007974,0.5721334209622037,0.05440085958659063,False,188,30,1349,"[872, 1349, 118, 924, 458, 30]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,7,0.039139115737133176,0.48748264188327584,0.022116007317886766,False,188,30,865,"[483, 859, 865, 786, 30, 567, 161]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,8,0.046239903925938096,0.47086599170423465,0.011936522777601238,False,188,88,795,"[153, 625, 378, 795, 752, 341, 88, 619]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,9,0.04334791499164428,0.41322957945261024,0.01135839349059617,False,188,91,656,"[433, 356, 564, 482, 225, 540, 404, 656, 91]"
quantile_classical,,,0.29382097721099854,0.5,0.14691048860549927,10,0.0397661324805838,0.39655104431990584,0.011466575427129894,False,188,132,650,"[132, 650, 455, 206, 364, 431, 217, 561, 453, 282]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,2,0.1907509757937438,0.641188906036878,0.06260371786501923,True,188,1611,2140,"[2140, 1611]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,3,0.0704371711577572,0.4261339904639359,0.0026993141634855805,True,188,1007,1438,"[1306, 1438, 1007]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,4,0.04503415220224873,0.39387890979535634,0.008201722075876747,True,188,777,1021,"[1008, 945, 1021, 777]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,5,0.0676111748453988,0.33961581191738266,0.007021234386180828,True,188,468,1120,"[640, 578, 1120, 945, 468]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,6,0.05722765507548163,0.2875676067631298,0.0028470765932837767,True,188,460,771,"[747, 678, 771, 460, 597, 498]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,7,0.04690761532795519,0.25018176963261696,0.00035900052087431064,True,188,445,774,"[774, 512, 453, 445, 466, 546, 555]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,8,0.05824252720348211,0.25565902211342445,0.0032852941698710593,False,188,174,757,"[439, 757, 520, 398, 525, 459, 479, 174]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,9,0.05902960063356702,0.23448309892757707,0.0019407940817020748,False,188,169,689,"[411, 535, 689, 400, 290, 395, 486, 376, 169]"
quantile_classical,,,0.29382097721099854,1.0,0.29382097721099854,10,0.05504841620295371,0.2304421817162868,0.0026646587937593728,False,188,171,685,"[282, 685, 389, 314, 384, 266, 171, 419, 529, 312]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,2,0.2159692160113493,0.6549434755832442,0.019032437045991293,True,188,1431,2320,"[2320, 1431]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,3,0.05519716856725425,0.40654670606937066,0.0011572362488711276,True,188,971,1511,"[971, 1511, 1269]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,4,0.04171133051484963,0.3696471090317038,0.0019971946442022123,True,188,815,1023,"[815, 984, 1023, 929]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,5,0.06852866452071947,0.32461390917356364,0.0020404238167233595,True,188,494,1145,"[554, 1145, 895, 494, 663]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,6,0.05382661433799884,0.27111823312590644,0.0004222729507409014,True,188,461,798,"[590, 798, 745, 495, 461, 662]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,7,0.04247423546152067,0.23159554457863918,0.00021871280627711303,True,188,448,784,"[784, 448, 512, 463, 519, 473, 552]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,8,0.07108706290283236,0.2410304395144166,0.0006224189133390481,False,188,179,813,"[556, 813, 317, 384, 620, 432, 450, 179]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,9,0.051676752299985605,0.2132910768558832,0.0007580239827978661,False,188,179,679,"[397, 679, 412, 310, 489, 529, 445, 311, 179]"
quantile_classical,,,0.29382097721099854,2.0,0.5876419544219971,10,0.05269042201239658,0.2169583614001283,0.0005592852702543025,False,188,171,684,"[401, 275, 286, 317, 382, 332, 520, 383, 684, 171]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,0.5,0.2784639596939087,2,0.1481601579102149,0.8676921354352239,0.11128510681277548,True,188,1428,2323,"[2323, 1428]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,0.5,0.2784639596939087,3,0.15189470291186782,0.6737644662646862,0.03792999100818173,True,188,1056,1428,"[1056, 1428, 1267]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,0.5,0.2784639596939087,4,0.16018134186706962,0.8206333347753587,0.06380431822108662,True,188,476,1267,"[1056, 1267, 952, 476]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,0.5,0.2784639596939087,5,0.1521710178289478,0.7035013059161197,0.03171142059050523,True,188,494,1096,"[1056, 1096, 606, 494, 499]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,0.5,0.2784639596939087,6,0.12347370748503819,0.5753832827280723,0.014228263711220768,True,188,344,1056,"[1056, 599, 696, 388, 344, 668]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,0.5,0.2784639596939087,7,0.11720261608860214,0.5152592814158656,0.0025407922849955827,False,188,132,1056,"[470, 593, 1056, 379, 613, 508, 132]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,0.5,0.2784639596939087,8,0.1290733635910806,0.4873681238986247,0.006985909453841407,False,188,115,1030,"[572, 1030, 604, 401, 320, 379, 330, 115]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,0.5,0.2784639596939087,9,0.13378868722925988,0.474341350645111,0.005229385851765342,False,188,115,804,"[330, 804, 542, 604, 314, 412, 379, 251, 115]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,0.5,0.2784639596939087,10,0.10988297973983445,0.439300590271055,0.005424690007960635,True,188,216,548,"[417, 548, 325, 408, 536, 383, 216, 300, 328, 290]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,1.0,0.5569279193878174,2,0.1481601579102149,0.8449814615340863,0.03548598630041331,True,188,1428,2323,"[1428, 2323]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,1.0,0.5569279193878174,3,0.15189470291186782,0.73648015910717,0.012492011091030632,True,188,1056,1428,"[1267, 1428, 1056]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,1.0,0.5569279193878174,4,0.1585000844739388,0.7803675519546309,0.010213460937586002,True,188,489,1267,"[489, 1267, 1056, 939]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,1.0,0.5569279193878174,5,0.15148743775330706,0.647444872116918,0.007736882459795067,True,188,494,1078,"[1056, 1078, 515, 494, 608]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,1.0,0.5569279193878174,6,0.1216723384254633,0.4830208044011223,0.002335209493195583,True,188,486,1056,"[494, 486, 1056, 608, 562, 545]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,1.0,0.5569279193878174,7,0.12262965123321808,0.4207063419453203,0.001918229064760248,True,188,339,966,"[427, 966, 339, 494, 599, 549, 377]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,1.0,0.5569279193878174,8,0.12252814014138558,0.4022260368238803,0.0012572020722457326,True,188,305,801,"[560, 341, 801, 577, 390, 305, 449, 328]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,1.0,0.5569279193878174,9,0.11694626281486387,0.3646424692618832,0.0002991592981388281,True,188,287,581,"[318, 386, 579, 581, 331, 425, 364, 480, 287]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,1.0,0.5569279193878174,10,0.11763095110732745,0.36835983814457224,0.000986963832300564,False,188,181,587,"[196, 587, 417, 473, 509, 181, 379, 324, 316, 369]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,2.0,1.1138558387756348,2,0.1481601579102149,0.8369668560359531,0.00920243481519418,True,188,1428,2323,"[2323, 1428]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,2.0,1.1138558387756348,3,0.15189470291186782,0.7461486249129478,0.0034600113512330216,True,188,1056,1428,"[1056, 1267, 1428]"
quantile_weighted_alpha_0.4,0.4,0.6,0.5569279193878174,2.0,1.1138558387756348,4,0.15664073006810655,0.7643435455257949,0.0020075383908057095,True,188,491,1267,"[1056, 1267, 937, 491]"
