metric,auc_absolute_direction,cluster_0_mean,cluster_1_mean,mean_difference_1_minus_0
PC1,0.9998435719233949,-1.04062606248824,52.43044736755819,53.47107343004643
raw_sum,0.9995642360723145,44.2195692026596,111.13408083868492,66.91451163602532
raw_mean,0.9995642360723145,0.06362527942828718,0.15990515228587762,0.09627987285759045
raw_l1_norm,0.9995642360723145,44.2195692026596,111.13408083868492,66.91451163602532
standardized_l1_norm,0.9992849002212341,295.02569142166163,1317.6454754180604,1022.6197839963988
raw_l2_norm,0.9978547006637021,4.731000505097534,7.407137181111509,2.676136676013975
standardized_l2_norm,0.9961339918210462,20.183671010767632,90.54849738822695,70.36482637745931
nonzero_count,0.9898265883036492,169.16150081566067,345.86301369863014,176.70151288296947
nonzero_fraction,0.9898265883036492,0.24339784290023123,0.4976446240268059,0.25424678112657473
zero_fraction,0.9898265883036492,0.7566021570997689,0.502355375973194,-0.25424678112657484
PC2,0.557386757245972,-0.006044724719583464,0.30455476052913666,0.3105994852487201
raw_maximum,0.5014953779227842,0.9999304340829254,1.0,6.956591707463211e-05
