method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,row_cluster,column_cluster,n_rows,n_features,volume,n_binary_features,n_numeric_features,binary_feature_fraction,n_sparse_features,sparse_feature_fraction,block_mean,block_std,block_zero_fraction,block_nonzero_fraction,block_h_score,column_cluster_global_mean,mean_contrast_to_column_cluster,absolute_mean_contrast,standardized_mean_contrast,column_cluster_global_zero_fraction,zero_fraction_contrast_to_column_cluster,binary_n_values,binary_mean,binary_std,binary_zero_fraction,binary_one_fraction,numeric_n_values,numeric_mean,numeric_std,numeric_zero_fraction
bistochastic,2,3,6,42,bistochastic_r2_c3_seed42,0,0,2695,1017,2740815,405,612,0.39823008849557523,626,0.615535889872173,0.010239867719815821,0.05374107045457505,0.9184654929281983,0.08153450707180165,0.002442680958341523,0.0232869135892546,-0.013047045869438778,0.013047045869438778,-0.11305962796508075,0.8920581519133409,0.02640734101485742,1091475,0.001609748276414943,0.040089362515529255,0.9983902517235851,0.001609748276414943,1649340,0.01595097617500758,0.06044735708093853,0.8655741084312513
bistochastic,2,3,6,42,bistochastic_r2_c3_seed42,0,1,2695,379,1021405,337,42,0.8891820580474934,0,0.0,0.09934601764783998,0.2773585398916929,0.8337515481126487,0.16624845188735127,0.06305380721047422,0.17110689494937076,-0.07176087730153077,0.07176087730153077,-0.20016906325017197,0.7608757277742646,0.07287582033838413,908215,0.0903464488034221,0.28667746334867816,0.9096535511965779,0.0903464488034221,113190,0.1715568438518597,0.16996668903333567,0.2247283328915982
bistochastic,2,3,6,42,bistochastic_r2_c3_seed42,0,2,2695,127,342265,86,41,0.6771653543307087,0,0.0,0.5169447156943012,0.43539359783821385,0.36169342468555066,0.6383065753144493,0.14753971692905124,0.5274093627032519,-0.010464647008950667,0.010464647008950667,-0.024082869512385637,0.3528591850572131,0.00883423962833757,231770,0.4807524701212409,0.49962939524568234,0.5192475298787591,0.4807524701212409,110495,0.5928601576280375,0.2346769760471594,0.031214082085162225
bistochastic,2,3,6,42,bistochastic_r2_c3_seed42,1,0,1056,1017,1073952,405,612,0.39823008849557523,626,0.615535889872173,0.056584061901884815,0.19593263817615836,0.8246644170316737,0.1753355829683263,0.03257443339539499,0.0232869135892546,0.03329714831263021,0.03329714831263021,0.2885375922025498,0.8920581519133409,-0.06739373488166722,427680,0.08968621399176954,0.2857316870975148,0.9103137860082304,0.08968621399176954,646272,0.03467822596004933,0.09252726645114907,0.7679846875618934
bistochastic,2,3,6,42,bistochastic_r2_c3_seed42,1,1,1056,379,400224,337,42,0.8891820580474934,0,0.0,0.3542466338959857,0.4620786384339482,0.5748905612856801,0.42510943871431994,0.18874945012983826,0.17110689494937076,0.18313973894661495,0.18313973894661495,0.5108481301697096,0.7608757277742646,-0.18598516648858454,355872,0.3707400413631868,0.48300296385551234,0.6292599586368133,0.3707400413631868,44352,0.22190667398058714,0.1874771140098991,0.13864087301587302
bistochastic,2,3,6,42,bistochastic_r2_c3_seed42,1,2,1056,127,134112,86,41,0.6771653543307087,0,0.0,0.5541160139240113,0.431156311058819,0.3303134693390599,0.6696865306609401,0.13352140709868188,0.5274093627032519,0.026706651220759436,0.026706651220759436,0.06146148990140067,0.3528591850572131,-0.02254571571815317,90816,0.5180805144467935,0.49967298806053073,0.48191948555320646,0.5180805144467935,43296,0.629702671364029,0.2090018645528501,0.01231060606060606
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,0,0,2695,188,506660,156,32,0.8297872340425532,0,0.0,0.2816747114364347,0.41793514841443236,0.6148600639482098,0.3851399360517902,0.15471762724120725,0.3041859570451029,-0.022511245608668184,0.022511245608668184,-0.052559175474780506,0.5916351384311701,0.023224925517039696,420420,0.28080490937633795,0.44939238116203595,0.719195090623662,0.28080490937633795,86240,0.28591499647940627,0.20405873105214986,0.10622680890538033
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,0,1,2695,995,2681525,374,621,0.3758793969849246,626,0.629145728643216,0.012540470028539356,0.06478956311412988,0.9091833937777943,0.09081660622220566,0.003506269524884078,0.023609620235375755,-0.011069150206836399,0.011069150206836399,-0.09865598098377643,0.8844338997037976,0.024749494073996736,1007930,0.004305854573234252,0.06547758539858055,0.9956941454267657,0.004305854573234252,1673595,0.017499803652185265,0.06386138281922517,0.8570819104980596
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,0,2,2695,63,169785,33,30,0.5238095238095238,0,0.0,0.6479696688065554,0.3764065438377444,0.19762052006949965,0.8023794799305004,0.10800225927393761,0.6572942955480654,-0.009324626741510023,0.009324626741510023,-0.025027128452743855,0.19050158053090605,0.007118939538593605,88935,0.6373193905661438,0.48077373573703347,0.36268060943385616,0.6373193905661438,80850,0.6596849748710081,0.2073938715938835,0.016054421768707482
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,0,3,2695,277,746515,265,12,0.9566787003610109,0,0.0,0.026943546893505154,0.15066536838595154,0.9506319363977951,0.049368063602204915,0.019450304083209503,0.12066866675519886,-0.0937251198616937,0.0937251198616937,-0.2935017382059256,0.8562000794974529,0.09443185690034217,714175,0.022626107046592223,0.1487083263523209,0.9773738929534078,0.022626107046592223,32340,0.12228701017949907,0.16166747779539603,0.3600803957946815
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,1,0,1056,188,198528,156,32,0.8297872340425532,0,0.0,0.36163653177555816,0.4485982024845755,0.532363193101225,0.46763680689877496,0.17503444321840717,0.3041859570451029,0.057450574730455284,0.057450574730455284,0.1341353957429295,0.5916351384311701,-0.059271945329945064,164736,0.3705018939393939,0.48293916855719626,0.6294981060606061,0.3705018939393939,33792,0.3184178912268585,0.2074575085794504,0.058830492424242424
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,1,1,1056,995,1050720,374,621,0.3758793969849246,626,0.629145728643216,0.05185901399240617,0.18136323917675712,0.8212711283691183,0.1787288716308817,0.027879470622664073,0.023609620235375755,0.02824939375703041,0.02824939375703041,0.25177828480234626,0.8844338997037976,-0.06316277133467929,394944,0.07720588235294118,0.26691784144759784,0.9227941176470589,0.07720588235294118,655776,0.03659375027768781,0.0957846589961706,0.7601284584980237
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,1,2,1056,63,66528,33,30,0.5238095238095238,0,0.0,0.6810915200446278,0.36154575679549644,0.1723334535834536,0.8276665464165465,0.08941802534147693,0.6572942955480654,0.023797224496562408,0.023797224496562408,0.06387131740544105,0.19050158053090605,-0.018168126947452456,34848,0.673869375573921,0.4687957340223296,0.326130624426079,0.673869375573921,31680,0.6890358789624054,0.18065251044921946,0.0031565656565656565
bistochastic,2,4,8,42,bistochastic_r2_c4_seed42,1,3,1056,277,292512,265,12,0.9566787003610109,0,0.0,0.3598629830688963,0.47397919902086577,0.6152021113663713,0.38479788863362874,0.19876290429616147,0.12066866675519886,0.23919431631369745,0.23919431631369745,0.749040894379706,0.8562000794974529,-0.24099796813108165,279840,0.36568396226415095,0.481621430178249,0.6343160377358491,0.36568396226415095,12672,0.23131635917369003,0.2147345868039181,0.19310290404040403
bistochastic,2,5,10,42,bistochastic_r2_c5_seed42,0,0,2695,975,2627625,372,603,0.38153846153846155,626,0.642051282051282,0.009453922319695161,0.049644786311493994,0.921687074829932,0.07831292517006805,0.0021175184197596473,0.02093210464059225,-0.011478182320897088,0.011478182320897088,-0.10767307203394394,0.8963481874918825,0.025338887338049454,1002540,0.001163045863506693,0.034083620521095946,0.9988369541364933,0.001163045863506693,1625085,0.014568691874756705,0.05656698941006703,0.8740921244119538
bistochastic,2,5,10,42,bistochastic_r2_c5_seed42,0,1,2695,105,282975,84,21,0.8,0,0.0,0.38141878298487497,0.4408647478564173,0.5179256118031629,0.4820743881968371,0.1692090177226904,0.40564476444718484,-0.024225981462309865,0.024225981462309865,-0.0542873731004125,0.4955275418618527,0.02239806994131016,226380,0.36520010601643255,0.48148622886020226,0.6347998939835674,0.36520010601643255,56595,0.4462934908586448,0.1980701025705357,0.05042848308154431
bistochastic,2,5,10,42,bistochastic_r2_c5_seed42,0,2,2695,45,121275,24,21,0.5333333333333333,0,0.0,0.7115595492788209,0.35742354352022077,0.1655988455988456,0.8344011544011544,0.10186694295322048,0.7085836623162771,0.0029758869625438056,0.0029758869625438056,0.008283609266010678,0.1689208803578305,-0.003322034758984904,64680,0.6987012987012987,0.4588221811273048,0.3012987012987013,0.6987012987012987,56595,0.726254692795989,0.18098823293190064,0.010513296227581941
bistochastic,2,5,10,42,bistochastic_r2_c5_seed42,0,3,2695,215,579425,214,1,0.9953488372093023,0,0.0,0.00407177358503689,0.06318266639049067,0.9958458816930578,0.004154118306942234,0.0035792983358673017,0.11039692729693168,-0.10632515371189478,0.10632515371189478,-0.33945095302729006,0.8894694748067182,0.10637640688633954,576730,0.003776463856570666,0.061336793014557585,0.9962235361434293,0.003776463856570666,2695,0.0672680554768089,0.22173612236014462,0.9150278293135437
bistochastic,2,5,10,42,bistochastic_r2_c5_seed42,0,4,2695,183,493185,134,49,0.73224043715847,0,0.0,0.17243665322030474,0.3382993147503736,0.6634994981599197,0.3365005018400803,0.10291427879171507,0.20158572079121195,-0.02914906757090721,0.02914906757090721,-0.08055766699194816,0.6316989422128598,0.03180055594705988,361130,0.17729072633123805,0.3819145515533286,0.8227092736687619,0.17729072633123805,132055,0.15916224920265043,0.16823424655707786,0.22810949982961645
