cluster_id,dimensionality,subspace,n_dense_units,n_points,point_fraction,activity_0_count,activity_1_count,activity_1_fraction
95,1,D108,2,3548,0.945881098373767,1589,1959,0.5521420518602029
67,1,D76,2,3545,0.9450813116502266,1608,1937,0.5464033850493653
237,1,D806,2,3538,0.9432151426286324,1631,1907,0.5390050876201243
61,1,D69,2,3537,0.9429485470541189,1622,1915,0.5414192818772972
184,1,D426,2,3534,0.9421487603305785,1644,1890,0.534804753820034
236,1,D802,2,3534,0.9421487603305785,1601,1933,0.5469722693831353
246,1,D926,2,3532,0.9416155691815515,1619,1913,0.5416194790486977
221,1,D673,2,3530,0.9410823780325247,1606,1924,0.545042492917847
191,1,D469,2,3528,0.9405491868834978,1679,1849,0.5240929705215419
123,1,D158,2,3526,0.9400159957344708,1548,1978,0.5609756097560976
117,1,D151,2,3522,0.9389496134364169,1609,1913,0.5431572969903464
81,1,D92,2,3521,0.9386830178619034,1595,1926,0.5470036921329168
107,1,D131,3,3519,0.9381498267128766,1596,1923,0.546462063086104
12,1,D12,2,3515,0.9370834444148227,1607,1908,0.5428165007112375
37,1,D44,2,3509,0.9354838709677419,1612,1897,0.5406098603590767
34,1,D38,2,3507,0.934950679818715,1595,1912,0.5451953236384374
0,1,D1,2,3503,0.9338842975206612,1573,1930,0.5509563231515844
53,1,D61,3,3500,0.9330845107971207,1550,1950,0.5571428571428572
32,1,D36,2,3496,0.932018128499067,1578,1918,0.5486270022883295
87,1,D102,4,3487,0.9296187683284457,1579,1908,0.5471752222540867
137,1,D181,3,3483,0.9285523860303919,1636,1847,0.530289979902383
254,1,D951,3,3482,0.9282857904558784,1531,1951,0.5603101665709362
125,1,D161,2,3481,0.928019194881365,1573,1908,0.5481183567940247
220,1,D672,2,3481,0.928019194881365,1635,1846,0.5303073829359379
56,1,D64,2,3479,0.927486003732338,1659,1820,0.5231388329979879
253,1,D950,2,3472,0.9256198347107438,1559,1913,0.550979262672811
24,1,D25,3,3471,0.9253532391362304,1561,1910,0.5502736963411121
131,1,D167,2,3469,0.9248200479872034,1584,1885,0.543384260593831
20,1,D20,2,3461,0.9226872833910957,1531,1930,0.5576422999133198
6,1,D6,3,3460,0.9224206878165823,1518,1942,0.5612716763005781
104,1,D128,2,3458,0.9218874966675553,1564,1894,0.5477154424522845
55,1,D63,2,3455,0.9210877099440149,1551,1904,0.5510853835021707
80,1,D91,2,3455,0.9210877099440149,1541,1914,0.5539797395079595
251,1,D947,2,3455,0.9210877099440149,1529,1926,0.557452966714906
36,1,D43,2,3453,0.920554518794988,1628,1825,0.5285259194902983
54,1,D62,2,3452,0.9202879232204746,1534,1918,0.555619930475087
59,1,D67,4,3452,0.9202879232204746,1569,1883,0.5454808806488992
51,1,D58,2,3450,0.9197547320714476,1581,1869,0.5417391304347826
196,1,D505,2,3446,0.9186883497733938,1554,1892,0.5490423679628554
18,1,D18,3,3445,0.9184217541988803,1564,1881,0.5460087082728592
25,1,D26,4,3444,0.9181551586243668,1557,1887,0.5479094076655052
38,1,D45,4,3441,0.9173553719008265,1585,1856,0.5393780877651846
10,1,D10,3,3440,0.917088776326313,1509,1931,0.5613372093023256
101,1,D126,4,3440,0.917088776326313,1545,1895,0.5508720930232558
63,1,D71,2,3436,0.9160223940282591,1579,1857,0.5404540162980209
42,1,D49,2,3433,0.9152226073047187,1532,1901,0.553743081852607
205,1,D607,2,3428,0.9138896294321515,1651,1777,0.5183780630105017
244,1,D911,4,3427,0.913623033857638,1584,1843,0.5377881529034141
116,1,D150,3,3424,0.9128232471340976,1538,1886,0.5508177570093458
94,1,D107,3,3423,0.9125566515595841,1527,1896,0.5539000876424189
206,1,D608,2,3420,0.9117568648360437,1612,1808,0.5286549707602339
218,1,D661,2,3419,0.9114902692615302,1582,1837,0.5372916057326703
47,1,D54,2,3414,0.910157291388963,1548,1866,0.546572934973638
213,1,D624,2,3413,0.9098906958144495,1619,1794,0.5256372692645767
13,1,D14,2,3402,0.9069581444948014,1548,1854,0.544973544973545
247,1,D927,2,3402,0.9069581444948014,1563,1839,0.5405643738977073
228,1,D697,2,3396,0.9053585710477207,1547,1849,0.5444640753828033
2,1,D3,2,3395,0.9050919754732072,1609,1786,0.5260677466863034
17,1,D17,4,3386,0.9026926153025859,1500,1886,0.5569994093325458
78,1,D89,2,3384,0.9021594241535591,1537,1847,0.5458037825059102
212,1,D623,2,3384,0.9021594241535591,1587,1797,0.5310283687943262
194,1,D479,2,3380,0.9010930418555052,1550,1830,0.5414201183431953
211,1,D622,2,3379,0.9008264462809917,1607,1772,0.5244155075466114
111,1,D139,3,3377,0.9002932551319648,1526,1851,0.5481196328101866
124,1,D159,2,3376,0.9000266595574513,1522,1854,0.5491706161137441
30,1,D33,2,3374,0.8994934684084244,1571,1803,0.534380557202134
1,1,D2,5,3373,0.899226872833911,1534,1839,0.5452119774681292
35,1,D39,4,3373,0.899226872833911,1528,1845,0.5469908093685146
