role_in_narrative,distance,k,sigma_multiplier,sigma_reference_median,sigma,numeric_gower_silhouette_exact,spectral_silhouette_exact,eigengap,cluster_sizes,valid_cluster_sizes
numeric_selected,numeric_gower_mean_l1,4,2.0,0.04317566007375717,0.08635132014751434,0.027910536917077913,0.3918907512357364,0.005371856022361007,"[918, 1055, 972, 806]",True
numeric_k2_macrostructure,numeric_gower_mean_l1,2,2.0,0.04317566007375717,0.08635132014751434,0.858683276265221,0.9995236415066304,0.7936923908921397,"[3748, 3]",False
numeric_k3_intermediate_check,numeric_gower_mean_l1,3,2.0,0.04317566007375717,0.08635132014751434,0.0037516170179921916,0.5775792556832379,0.0035484037903482923,"[1171, 1218, 1362]",True
numeric_k4_refinement,numeric_gower_mean_l1,4,2.0,0.04317566007375717,0.08635132014751434,0.027457708266070795,0.39185704080235817,0.0053718560223610205,"[1055, 922, 973, 801]",True
