method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,column_cluster,n_features,feature_cluster_fraction,n_binary_features,n_numeric_features,binary_feature_fraction,numeric_feature_fraction,n_sparse_features,sparse_feature_fraction,mean_feature_zero_fraction,median_feature_zero_fraction,minimum_feature_zero_fraction,maximum_feature_zero_fraction,mean_feature_value,mean_feature_std,median_unique_values
scale,4,8,32,42,scale_r4_c8_seed42,0,726,0.4766907419566645,68,658,0.09366391184573003,0.90633608815427,293,0.4035812672176309,0.7918189676508669,0.9189549453479072,0.0,0.9898693681684884,0.053034024823737,0.09546558351066636,9.0
scale,4,8,32,42,scale_r4_c8_seed42,1,47,0.030860144451739988,47,0,1.0,0.0,0,0.0,0.8230202442469241,0.8296454278858971,0.754732071447614,0.8704345507864569,0.17697975575307576,0.3792025459764288,2.0
scale,4,8,32,42,scale_r4_c8_seed42,2,60,0.03939592908732764,27,33,0.45,0.55,0,0.0,0.25538523060517193,0.0035990402559317515,0.0,0.8067182084777392,0.53050239547486,0.26088926521617983,185.5
scale,4,8,32,42,scale_r4_c8_seed42,3,27,0.01772816808929744,27,0,1.0,0.0,0,0.0,0.6265193479269725,0.6416955478539056,0.42068781658224474,0.7947214076246334,0.37348065207302744,0.4713694352914806,2.0
scale,4,8,32,42,scale_r4_c8_seed42,4,328,0.2153644123440578,328,0,1.0,0.0,324,0.9878048780487805,0.9790080368812221,0.9830711810183952,0.6803519061583577,0.9896027725939749,0.020991963118778083,0.13620899042233597,2.0
scale,4,8,32,42,scale_r4_c8_seed42,5,47,0.030860144451739988,43,4,0.9148936170212766,0.0851063829787234,0,0.0,0.49786439928075926,0.5662490002665955,0.0,0.8091175686483605,0.46819775162588123,0.4478970726113722,2.0
scale,4,8,32,42,scale_r4_c8_seed42,6,201,0.1319763624425476,201,0,1.0,0.0,9,0.04477611940298507,0.9089489900537301,0.9184217541988803,0.5435883764329512,0.9605438549720074,0.09105100994626973,0.2786075643963993,2.0
scale,4,8,32,42,scale_r4_c8_seed42,7,87,0.05712409717662508,87,0,1.0,0.0,0,0.0,0.7748676981157514,0.7872567315382565,0.5001332977872567,0.8834977339376167,0.2251323018842485,0.40732363804441246,2.0
