seed,inertia,silhouette,minimum_cluster_fraction,mean_ari_to_other_seeds,representative
11,15547.292616618088,0.11228835067651669,0.26526259664089574,1.0,False
29,15547.292616618088,0.11228835067651669,0.26526259664089574,1.0,False
42,15547.292616618088,0.11228835067651669,0.26526259664089574,1.0,False
71,15547.292616618088,0.11228835067651669,0.26526259664089574,1.0,False
101,15547.292616618086,0.11228835067651669,0.26526259664089574,1.0,True
137,15547.292616618088,0.11228835067651669,0.26526259664089574,1.0,False
173,15547.292616618088,0.11228835067651669,0.26526259664089574,1.0,False
211,15547.292616618088,0.11228835067651669,0.26526259664089574,1.0,False
251,15547.292616618088,0.11228835067651669,0.26526259664089574,1.0,False
307,15547.292616618088,0.11228835067651669,0.26526259664089574,1.0,False
