repetition,hopkins
1,0.8651303154549869
2,0.8629715407111251
3,0.8609969915417739
4,0.8584783817193016
5,0.869801457472437
6,0.8574396100345999
7,0.8596228252947941
8,0.8627322136342578
9,0.8640278402814452
10,0.8734599436716647
11,0.8676826842967538
12,0.8608293526879096
13,0.8592404033910873
14,0.864724013985194
15,0.8630621086286399
16,0.8722910765753006
17,0.8565209646030943
18,0.8651698221053687
19,0.8659185540863845
20,0.868988977401871
21,0.8655923395702649
22,0.87109262355694
23,0.8654434917996273
24,0.8613730661834338
25,0.8621332696780749
26,0.8631131802626179
27,0.8651334101095329
28,0.8736890847538507
29,0.8683667349491055
30,0.8593400517256209
