split,repeat,fold,train_size,validation_size,original_features,quasi_constant_removed,features_after_quasi_constant,binary_features_after_quasi_constant,numeric_features_after_quasi_constant,numeric_numeric_pairs_above_threshold,binary_binary_pairs_above_threshold,numeric_binary_pairs_above_threshold,correlated_features_removed,remaining_features,quasi_constant_feature_names,correlated_feature_names,pca_components,explained_variance
11,3,1,3000,751,1776,263,1513,819,694,1,0,0,1,1512,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D274;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D331;D332;D333;D345;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D383;D384;D385;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D486;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D1466;D1487;D1597;D1621;D1655;D1670;D1671;D1708;D1719;D1721;D1748;D1774;D1776,D519,231,0.9006116756818818
12,3,2,3001,750,1776,261,1515,822,693,0,0,0,0,1515,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D331;D332;D333;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D409;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D580;D581;D602;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D681;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1557;D1597;D1600;D1621;D1635;D1685;D1708;D1758,,230,0.9005202556349988
13,3,3,3001,750,1776,269,1507,824,683,0,0,0,0,1507,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D236;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D345;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D383;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D467;D468;D483;D484;D485;D486;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D552;D566;D570;D571;D572;D573;D574;D575;D576;D577;D578;D580;D581;D601;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D760;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D884;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1490;D1557;D1570;D1670;D1685;D1708,,234,0.9001871001575888
14,3,4,3001,750,1776,258,1518,823,695,0,0,0,0,1518,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D264;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D412;D413;D414;D425;D437;D438;D439;D450;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D603;D604;D605;D606;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D855;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1485;D1487;D1597;D1621;D1635;D1671;D1708;D1748,,231,0.9003978823354745
15,3,5,3001,750,1776,260,1516,826,690,0,0,0,0,1516,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D345;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D383;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D508;D509;D510;D511;D533;D540;D541;D552;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D602;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D920;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1522;D1570;D1597;D1708,,232,0.9001914573401909
16,4,1,3000,751,1776,259,1517,827,690,0,0,0,0,1517,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D345;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D383;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D508;D509;D510;D511;D533;D540;D541;D552;D566;D570;D571;D572;D573;D574;D575;D576;D577;D578;D580;D581;D602;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D1466;D1487;D1597;D1708;D1748,,232,0.9004227069199237
17,4,2,3001,750,1776,251,1525,825,700,0,0,0,0,1525,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D331;D332;D333;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D397;D398;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D715;D716;D717;D718;D719;D720;D721;D722;D723;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D1466;D1487;D1647;D1667;D1670;D1708;D1719,,231,0.9000469414006379
18,4,3,3001,750,1776,270,1506,824,682,0,0,0,0,1506,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D274;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D345;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D383;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D412;D413;D414;D425;D437;D438;D439;D450;D467;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D508;D509;D510;D511;D533;D540;D541;D552;D553;D566;D567;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D593;D601;D602;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1597;D1600;D1671;D1685;D1708;D1748,,232,0.9004630675191408
19,4,4,3001,750,1776,257,1519,820,699,0,0,0,0,1519,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D253;D255;D256;D257;D264;D269;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D331;D332;D333;D345;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D603;D604;D605;D606;D618;D619;D620;D632;D633;D634;D637;D638;D639;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D715;D716;D717;D718;D719;D720;D721;D722;D723;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D884;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1487;D1522;D1621;D1635;D1670;D1671;D1683;D1707;D1708;D1719;D1721;D1722,,231,0.9006162470704755
20,4,5,3001,750,1776,259,1517,822,695,0,0,0,0,1517,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D331;D332;D333;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D486;D487;D488;D489;D490;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D603;D604;D605;D606;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D681;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D855;D856;D857;D858;D859;D860;D861;D862;D867;D868;D869;D870;D871;D872;D873;D874;D875;D876;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1490;D1570;D1597;D1617;D1667;D1670;D1671;D1708,,232,0.9005984182406135
21,5,1,3000,751,1776,268,1508,827,681,0,0,0,0,1508,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D264;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D321;D322;D323;D324;D330;D331;D332;D333;D345;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D383;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D467;D468;D483;D484;D485;D486;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D508;D509;D510;D511;D533;D540;D541;D552;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D602;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D681;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D867;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D884;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1487;D1570;D1597;D1621;D1708,,233,0.9005478297989584
22,5,2,3001,750,1776,250,1526,826,700,0,0,0,0,1526,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D331;D332;D333;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D398;D401;D402;D403;D404;D405;D406;D407;D408;D412;D413;D414;D425;D437;D438;D439;D450;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D603;D604;D605;D606;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D855;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D884;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D1466;D1487;D1557;D1670;D1748;D1776,,232,0.9000136110357303
23,5,3,3001,750,1776,258,1518,827,691,0,0,0,0,1518,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D274;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D331;D332;D333;D345;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D383;D384;D385;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D580;D581;D601;D602;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D1466;D1487;D1522;D1597;D1708,,230,0.9001933963866604
24,5,4,3001,750,1776,260,1516,822,694,0,0,0,0,1516,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D269;D271;D273;D274;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D331;D332;D333;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D486;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D578;D580;D581;D602;D603;D604;D605;D606;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1490;D1515;D1647;D1663;D1667;D1685;D1708;D1719,,231,0.9001113665435394
25,5,5,3001,750,1776,262,1514,824,690,0,0,0,0,1514,D72;D171;D176;D179;D184;D188;D193;D230;D232;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D264;D269;D271;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D322;D323;D324;D330;D331;D332;D333;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D508;D509;D510;D511;D533;D540;D541;D566;D570;D571;D572;D573;D574;D575;D576;D577;D578;D580;D581;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D761;D779;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D945;D1466;D1487;D1570;D1597;D1621;D1635;D1671;D1708,,232,0.900521589113379
26,6,1,3000,751,1776,274,1502,829,673,0,0,0,0,1502,D72;D171;D176;D179;D184;D188;D193;D230;D234;D235;D238;D239;D240;D241;D242;D243;D244;D245;D247;D252;D253;D254;D255;D256;D257;D264;D269;D271;D273;D274;D275;D276;D277;D284;D285;D286;D293;D294;D295;D296;D297;D298;D299;D300;D301;D302;D303;D304;D305;D306;D307;D308;D316;D321;D322;D323;D324;D330;D331;D332;D333;D345;D353;D354;D355;D356;D357;D358;D368;D369;D370;D371;D372;D382;D383;D384;D385;D396;D397;D398;D399;D401;D402;D403;D404;D405;D406;D407;D408;D411;D412;D413;D414;D425;D437;D438;D439;D450;D467;D468;D483;D484;D485;D487;D488;D489;D490;D500;D501;D502;D503;D506;D507;D509;D510;D511;D533;D540;D541;D552;D553;D565;D566;D567;D570;D571;D572;D573;D574;D575;D576;D577;D578;D580;D581;D593;D601;D602;D603;D604;D605;D606;D617;D618;D619;D620;D632;D633;D634;D637;D638;D639;D640;D641;D642;D644;D645;D646;D647;D648;D655;D656;D657;D658;D670;D671;D682;D683;D684;D695;D696;D713;D714;D715;D716;D717;D718;D719;D720;D721;D722;D723;D724;D725;D726;D727;D735;D736;D737;D738;D744;D745;D746;D760;D761;D779;D780;D781;D782;D783;D784;D785;D786;D787;D788;D789;D790;D799;D800;D801;D804;D805;D820;D821;D822;D823;D824;D825;D826;D827;D828;D829;D830;D831;D833;D834;D835;D836;D837;D838;D839;D840;D847;D851;D852;D853;D854;D856;D857;D858;D859;D860;D861;D862;D868;D869;D870;D871;D872;D873;D874;D875;D877;D878;D879;D885;D886;D887;D888;D899;D909;D910;D921;D922;D923;D924;D930;D931;D944;D945;D946;D1487;D1597;D1708,,232,0.9004694037414959
