method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,block_r2,weighted_h_score,within_block_sse,total_sst,block_mean_range,block_zero_fraction_range,row_cluster_entropy,smallest_row_cluster,largest_row_cluster,smallest_row_cluster_fraction,largest_row_cluster_fraction,column_cluster_entropy,smallest_column_cluster,largest_column_cluster,smallest_column_cluster_fraction,largest_column_cluster_fraction,feature_type_nmi,sparse_flag_nmi,feature_zero_fraction_eta2,activity_chi2,activity_chi2_p_value,activity_chi2_dof,activity_cramers_v,activity_nmi,minimum_expected_frequency,fit_warning_count,fit_warnings,status,error
scale,2,3,6,42,scale_r2_c3_seed42,0.09713348140012201,0.0423064351653721,397348.23322145117,440096.32103496284,0.42072630123311927,0.42072630123311927,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.5997276250367078,93,1186,0.06106369008535785,0.7787261982928431,0.23903725275961513,0.20756848962048768,0.02597103518872137,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,2,3,6,7,scale_r2_c3_seed7,0.09775718014638446,0.04230845073725106,397073.7456977869,440096.32103496284,0.4159781002493845,0.41597810024938453,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.6077907771359561,99,1181,0.06500328299409061,0.7754432042022325,0.24175840528257964,0.20987636071499474,0.02557289757263686,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,2,3,6,99,scale_r2_c3_seed99,0.09713348140012212,0.042306435165372094,397348.2332214511,440096.32103496284,0.42072630123311927,0.42072630123311927,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.5997276250367078,93,1186,0.06106369008535785,0.7787261982928431,0.23903725275961513,0.20756848962048768,0.02597103518872137,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,2,4,8,42,scale_r2_c4_seed42,0.2648716569005396,0.041959343429218046,323527.2792866004,440096.32103496284,0.5127344643050508,0.6831351495382729,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.622814684375275,88,1105,0.05778069599474721,0.7255416940249507,0.19742399548076114,0.23466094126573572,0.28732326816672477,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,2,4,8,7,scale_r2_c4_seed7,0.26576106367170715,0.041960599527655275,323135.854638706,440096.32103496284,0.5113371629735275,0.6861270259004684,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.6239360554547781,88,1104,0.05778069599474721,0.7248850952068286,0.1968977987134142,0.23513668467323343,0.2935344867946466,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,2,4,8,99,scale_r2_c4_seed99,0.26576106367170715,0.04196059952765528,323135.854638706,440096.32103496284,0.5113371629735275,0.6861270259004684,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.6239360554547781,88,1104,0.05778069599474721,0.7248850952068286,0.1968977987134142,0.23513668467323343,0.2935344867946466,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,2,5,10,42,scale_r2_c5_seed42,0.23950685197768473,0.041112466382341346,334690.23661691835,440096.32103496284,0.5413523020891924,0.709265583562602,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.7924228397425971,81,791,0.05318450426789232,0.5193696651346028,0.4286613232072698,0.3054270302980756,0.32593187534617335,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,2,5,10,7,scale_r2_c5_seed7,0.23970082021119055,0.041112122161165145,334604.8719109548,440096.32103496284,0.5415559655808714,0.7094692470542812,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.7940734347774383,81,788,0.05318450426789232,0.5173998686802364,0.4317180130623463,0.3082471234075377,0.3265039602028149,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,2,5,10,99,scale_r2_c5_seed99,0.23970082021119066,0.04111212216116514,334604.87191095477,440096.32103496284,0.5415559655808714,0.7094692470542812,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.7940734347774383,81,788,0.05318450426789232,0.5173998686802364,0.43171801306234636,0.3082471234075377,0.3265039602028149,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
scale,2,6,12,42,scale_r2_c6_seed42,0.2674144465605872,0.0402600452688063,322408.20691204775,440096.32103496284,0.5366866973085841,0.7568153816761987,0.8575203186873372,1056,2695,0.28152492668621704,0.718475073313783,0.7554762239286927,48,775,0.03151674326986211,0.5088640840446487,0.42398420464396513,0.30032115963318357,0.3546757258115513,16.878008448711334,3.986074448267151e-05,1,0.06707907541869731,0.0035227724259420806,483.3782991202346,3,RuntimeWarning: divide by zero encountered in matmul | RuntimeWarning: overflow encountered in matmul | RuntimeWarning: invalid value encountered in matmul,ok,
