method,n_row_clusters,n_column_clusters,n_blocks,block_r2_mean,block_r2_std,weighted_h_score_mean,weighted_h_score_std,row_cluster_entropy_mean,row_cluster_entropy_std,column_cluster_entropy_mean,column_cluster_entropy_std,smallest_row_cluster_fraction_mean,smallest_row_cluster_fraction_std,largest_row_cluster_fraction_mean,largest_row_cluster_fraction_std,smallest_column_cluster_fraction_mean,smallest_column_cluster_fraction_std,largest_column_cluster_fraction_mean,largest_column_cluster_fraction_std,feature_type_nmi_mean,feature_type_nmi_std,sparse_flag_nmi_mean,sparse_flag_nmi_std,feature_zero_fraction_eta2_mean,feature_zero_fraction_eta2_std,block_mean_range_mean,block_mean_range_std,block_zero_fraction_range_mean,block_zero_fraction_range_std,activity_chi2_p_value_mean,activity_chi2_p_value_std,activity_cramers_v_mean,activity_cramers_v_std,activity_nmi_mean,activity_nmi_std,screening_runs_requested,screening_runs_successful,screening_success_fraction,meets_screening_success_requirement
scale,2,3,6,0.09734138098220953,0.0003600926390478226,0.04230710702266508,1.1636909668911935e-06,0.8575203186873374,0.0,0.6024153424031239,0.004655263035017858,0.28152492668621704,0.0,0.7184750733137829,0.0,0.0623768877216021,0.0022745250263544,0.7776318669293062,0.0018954375219619724,0.2399443036006033,0.001571058141639587,0.20833777998532335,0.0013324499976686062,0.02583832265002653,0.00022986485982090724,0.4191435675718744,0.0027413751161257304,0.4191435675718744,0.0027413751161256945,3.986074448267151e-05,0.0,0.06707907541869731,0.0,0.0035227724259420806,0.0,3,3,1.0,True
scale,2,4,8,0.2654645947479846,0.0005134992387526682,0.0419601808281762,7.252087708626472e-07,0.8575203186873374,0.0,0.6235622650949438,0.0006474238946125649,0.28152492668621704,0.0,0.7184750733137829,0.0,0.0577806959947472,0.0,0.7251039614795359,0.0003790875043923239,0.19707319763586317,0.00030379984527446614,0.23497810353740087,0.00027467058438400063,0.2914640805853393,0.0035860487468262906,0.5118029300840353,0.0008067322998939428,0.6851297337797365,0.0017273606230956264,3.986074448267151e-05,0.0,0.06707907541869731,0.0,0.0035227724259420806,0.0,3,3,1.0,True
scale,2,5,10,0.2396361641333553,0.0001119876118288503,0.04111223690155721,1.9873618874232213e-07,0.8575203186873374,0.0,0.7935232364324912,0.0009529714876886048,0.28152492668621704,0.0,0.7184750733137829,0.0,0.05318450426789232,0.0,0.5180564674983584,0.0011372625131771963,0.4306991164439875,0.0017647807106576177,0.3073070923710503,0.0016281815158877412,0.32631326525060106,0.0003302933459812993,0.5414880777503117,0.00011758517174499943,0.7094013592237215,0.00011758517174502347,3.986074448267151e-05,0.0,0.06707907541869731,0.0,0.0035227724259420806,0.0,3,3,1.0,True
scale,2,6,12,0.26736568476207867,4.466688839850747e-05,0.040258723870195974,2.2581625300924478e-06,0.8575203186873374,0.0,0.7553548755547146,0.0006476811498978668,0.28152492668621704,0.0,0.7184750733137829,0.0,0.03151674326986211,0.0,0.5088640840446487,0.00065659881812212,0.4240304983677256,0.0009677276342896043,0.3003534392858815,0.00015386945889593509,0.35477991508780105,9.635989293898917e-05,0.5366866973085841,0.0,0.7568153816761987,0.0,3.986074448267151e-05,0.0,0.06707907541869731,0.0,0.0035227724259420806,0.0,3,3,1.0,True
scale,2,7,14,0.27672507910090266,0.0015153447473783405,0.04015756925638963,4.427853865404276e-06,0.8575203186873374,0.0,0.7582117609512324,0.000990502080883728,0.28152492668621704,0.0,0.7184750733137829,0.0,0.030860144451739988,0.0,0.4841321952287152,0.0007581750087848162,0.4527097555476131,6.991681923751722e-05,0.28661964167068466,9.554539443129595e-05,0.34949366806603893,0.0023115242927961043,0.5672348484848485,0.0,0.765223168714949,0.0017391309772500836,3.986074448267151e-05,0.0,0.06707907541869731,0.0,0.0035227724259420806,0.0,3,3,1.0,True
scale,2,8,16,0.2867863089480326,0.002701636285394694,0.03963433418787138,4.0367838546369645e-05,0.8575203186873374,0.0,0.7371610475591076,0.0019419425989295512,0.28152492668621704,0.0,0.7184750733137829,0.0,0.018603633180126943,0.0015163500175696004,0.47537754432042023,0.0013131976362442677,0.45734150744350693,0.0021503955366546654,0.2870732236969838,0.0017035579831392448,0.3546876939903448,0.0010272666821733146,0.6286468407479046,0.0,0.7559925788497216,0.0,3.986074448267151e-05,0.0,0.06707907541869731,0.0,0.0035227724259420806,0.0,3,3,1.0,True
scale,3,3,9,0.1312395575236266,0.0003079884883843955,0.041116207308091325,2.8502695068632233e-06,0.9931746875102201,0.0,0.6024153424031239,0.004655263035017858,0.28152492668621704,0.0,0.3806984804052253,0.0,0.0623768877216021,0.0022745250263544,0.7776318669293062,0.0018954375219619724,0.2399443036006033,0.001571058141639587,0.20833777998532335,0.0013324499976686062,0.02583832265002653,0.00022986485982090724,0.4990006625449385,0.00784762918375288,0.4990006625449385,0.007847629183752843,3.7187405202452687e-09,7.670957427687223e-24,0.10173090309240644,0.0,0.005813120785823964,0.0,3,3,1.0,True
scale,3,4,12,0.2720697386690068,0.0005176442360576804,0.040656881187836454,1.0445279639369358e-06,0.655314514194603,0.0,0.6235622650949438,0.0006474238946125649,0.04612103439082912,0.0,0.7184750733137829,0.0,0.0577806959947472,0.0,0.7251039614795359,0.0003790875043923239,0.19707319763586317,0.00030379984527446614,0.23497810353740087,0.00027467058438400063,0.2914640805853393,0.0035860487468262906,0.5118029300840353,0.0008067322998939428,0.6851297337797365,0.0017273606230956264,4.068046506437407e-05,3.86306460283459e-20,0.0734195880734178,0.0,0.0038709722598995453,0.0,3,3,1.0,True
scale,3,5,15,0.273821142791882,0.00010759299845767026,0.03994343163334161,5.372851170974833e-07,0.9931746875102201,0.0,0.7935232364324912,0.0009529714876886048,0.28152492668621704,0.0,0.3806984804052253,0.0,0.05318450426789232,0.0,0.5180564674983584,0.0011372625131771963,0.4306991164439875,0.0017647807106576177,0.3073070923710503,0.0016281815158877412,0.32631326525060106,0.0003302933459812993,0.5656864427354132,9.044695672331563e-06,0.7318031234129557,9.044695672243427e-06,3.7187405202452687e-09,7.670957427687223e-24,0.10173090309240644,0.0,0.005813120785823964,0.0,3,3,1.0,True
scale,3,6,18,0.3016031165027602,2.958686089147959e-05,0.03909395944317665,1.6020282229050253e-07,0.9931746875102201,0.0,0.7553548755547146,0.0006476811498978668,0.28152492668621704,0.0,0.3806984804052253,0.0,0.03151674326986211,0.0,0.5088640840446487,0.00065659881812212,0.4240304983677256,0.0009677276342896043,0.3003534392858815,0.00015386945889593509,0.35477991508780105,9.635989293898917e-05,0.5690745064391584,2.4582147672536312e-06,0.7851909861425496,2.4582147672536312e-06,3.7187405202452687e-09,7.670957427687223e-24,0.10173090309240644,0.0,0.005813120785823964,0.0,3,3,1.0,True
scale,3,7,21,0.3108831738005567,0.001465065416822976,0.038986692921916956,5.544725142616265e-07,0.9931746875102201,0.0,0.7582117609512324,0.000990502080883728,0.28152492668621704,0.0,0.3806984804052253,0.0,0.030860144451739988,0.0,0.4841321952287152,0.0007581750087848162,0.4527097555476131,6.991681923751722e-05,0.28661964167068466,9.554539443129595e-05,0.34949366806603893,0.0023115242927961043,0.5835214242735897,0.0037721462362254004,0.7944276332794987,0.0032082468724974607,3.7187405202452687e-09,7.670957427687223e-24,0.10173090309240644,0.0,0.005813120785823964,0.0,3,3,1.0,True
scale,3,8,24,0.3259078004380554,0.0030814740957842766,0.03884582429212785,9.131430683578645e-06,0.9931746875102201,0.0,0.7371610475591076,0.0019419425989295512,0.28152492668621704,0.0,0.3806984804052253,0.0,0.018603633180126943,0.0015163500175696004,0.47537754432042023,0.0013131976362442677,0.45734150744350693,0.0021503955366546654,0.2870732236969838,0.0017035579831392448,0.3546876939903448,0.0010272666821733146,0.7338212260685973,0.011580129192538154,0.7825746965452848,0.0,3.7187405202452687e-09,7.670957427687223e-24,0.10173090309240644,0.0,0.005813120785823964,0.0,3,3,1.0,True
scale,4,3,12,0.13711817095153364,0.00032515584681294847,0.03975693775661745,1.5277434260554792e-06,0.8776366244292809,0.0,0.6024153424031239,0.004655263035017858,0.04612103439082912,0.0,0.3806984804052253,0.0,0.0623768877216021,0.0022745250263544,0.7776318669293062,0.0018954375219619724,0.2399443036006033,0.001571058141639587,0.20833777998532335,0.0013324499976686062,0.02583832265002653,0.00022986485982090724,0.4990006625449385,0.00784762918375288,0.4990006625449385,0.007847629183752843,3.7080771126852318e-09,0.0,0.1060189143400349,0.0,0.0059197394330650355,0.0,3,3,1.0,True
scale,4,4,16,0.301882010642542,0.0005367855869186757,0.03952712503097887,1.0190448971121455e-06,0.8736708538605225,6.119286030104723e-05,0.6235622650949438,0.0006474238946125649,0.04612103439082912,0.0,0.40851328534612996,0.0003078380534202371,0.0577806959947472,0.0,0.7251039614795359,0.0003790875043923239,0.19707319763586317,0.00030379984527446614,0.23497810353740087,0.00027467058438400063,0.2914640805853393,0.0035860487468262906,0.5170992697661373,0.0008307088067965582,0.6910488039952639,0.00171714734069678,1.0267511003629378e-09,1.985860854236637e-10,0.1093040164482398,0.0005152779297615408,0.00631019731025602,5.8986196516944625e-05,3,3,1.0,True
scale,4,5,20,0.2909628504350034,9.989489890912543e-05,0.039451839885201734,1.130325535525256e-06,0.8776366244292809,0.0,0.7935232364324912,0.0009529714876886048,0.04612103439082912,0.0,0.3806984804052253,0.0,0.05318450426789232,0.0,0.5180564674983584,0.0011372625131771963,0.4306991164439875,0.0017647807106576177,0.3073070923710503,0.0016281815158877412,0.32631326525060106,0.0003302933459812993,0.5656864427354132,9.044695672331563e-06,0.7318031234129557,9.044695672243427e-06,3.7080771126852318e-09,0.0,0.1060189143400349,0.0,0.0059197394330650355,0.0,3,3,1.0,True
scale,4,6,24,0.3187581547453688,2.8757774268114097e-05,0.038603394647760365,2.2057053823193751e-07,0.8776366244292809,0.0,0.7553548755547146,0.0006476811498978668,0.04612103439082912,0.0,0.3806984804052253,0.0,0.03151674326986211,0.0,0.5088640840446487,0.00065659881812212,0.4240304983677256,0.0009677276342896043,0.3003534392858815,0.00015386945889593509,0.35477991508780105,9.635989293898917e-05,0.5690745064391584,2.4582147672536312e-06,0.7851909861425496,2.4582147672536312e-06,3.7080771126852318e-09,0.0,0.1060189143400349,0.0,0.0059197394330650355,0.0,3,3,1.0,True
scale,4,7,28,0.32810481924397455,0.001465638011755514,0.038501259362072375,5.985836531484329e-07,0.8776366244292809,0.0,0.7582117609512324,0.000990502080883728,0.04612103439082912,0.0,0.3806984804052253,0.0,0.030860144451739988,0.0,0.4841321952287152,0.0007581750087848162,0.4527097555476131,6.991681923751722e-05,0.28661964167068466,9.554539443129595e-05,0.34949366806603893,0.0023115242927961043,0.5835214242735897,0.0037721462362254004,0.7944276332794987,0.0032082468724974607,3.7080771126852318e-09,0.0,0.1060189143400349,0.0,0.0059197394330650355,0.0,3,3,1.0,True
scale,4,8,32,0.34309970523669664,0.003100930207029109,0.03835809959480039,8.091920412058174e-06,0.8776366244292809,0.0,0.7371610475591076,0.0019419425989295512,0.04612103439082912,0.0,0.3806984804052253,0.0,0.018603633180126943,0.0015163500175696004,0.47537754432042023,0.0013131976362442677,0.45734150744350693,0.0021503955366546654,0.2870732236969838,0.0017035579831392448,0.3546876939903448,0.0010272666821733146,0.7338212260685973,0.011580129192538154,0.7825746965452848,0.0,3.7080771126852318e-09,0.0,0.1060189143400349,0.0,0.0059197394330650355,0.0,3,3,1.0,True
scale,5,3,15,0.1371662356460135,0.00032382015027067497,0.039276027456993524,1.6306418143193845e-06,0.769428352319378,0.0,0.6024153424031239,0.004655263035017858,0.008264462809917356,0.0,0.3806984804052253,0.0,0.0623768877216021,0.0022745250263544,0.7776318669293062,0.0018954375219619724,0.2399443036006033,0.001571058141639587,0.20833777998532335,0.0013324499976686062,0.02583832265002653,0.00022986485982090724,0.4990006625449385,0.00784762918375288,0.4990006625449385,0.007847629183752843,1.2812925919834193e-08,2.7459406364550735e-23,0.10650987841156433,9.813077866773595e-18,0.005914200285865281,0.0,3,3,1.0,True
scale,5,4,20,0.301874528805225,0.0005174919631790626,0.03904814079985003,9.533810996332321e-07,0.7659049530282003,7.06568741242138e-05,0.6235622650949438,0.0006474238946125649,0.008264462809917356,0.0,0.4091353416866614,0.00040723146671604627,0.0577806959947472,0.0,0.7251039614795359,0.0003790875043923239,0.19707319763586317,0.00030379984527446614,0.23497810353740087,0.00027467058438400063,0.2914640805853393,0.0035860487468262906,0.5171870822853587,0.0006886734397425306,0.6909805161587764,0.0017272871613933565,3.758019803870801e-09,4.3307684922474244e-10,0.10968461406419468,0.00030301879227864547,0.0062898773819028,3.4903374780327704e-05,3,3,1.0,True
scale,5,5,25,0.2912479326191885,9.957381640066401e-05,0.03898918876115514,1.1550608489542426e-06,0.769428352319378,0.0,0.7935232364324912,0.0009529714876886048,0.008264462809917356,0.0,0.3806984804052253,0.0,0.05318450426789232,0.0,0.5180564674983584,0.0011372625131771963,0.4306991164439875,0.0017647807106576177,0.3073070923710503,0.0016281815158877412,0.32631326525060106,0.0003302933459812993,0.5656864427354132,9.044695672331563e-06,0.7318031234129557,9.044695672243427e-06,1.2812925919834193e-08,2.7459406364550735e-23,0.10650987841156433,9.813077866773595e-18,0.005914200285865281,0.0,3,3,1.0,True
scale,5,6,30,0.3190329910915692,2.9053382594569363e-05,0.03813995421253281,2.734179403122338e-07,0.769428352319378,0.0,0.7553548755547146,0.0006476811498978668,0.008264462809917356,0.0,0.3806984804052253,0.0,0.03151674326986211,0.0,0.5088640840446487,0.00065659881812212,0.4240304983677256,0.0009677276342896043,0.3003534392858815,0.00015386945889593509,0.35477991508780105,9.635989293898917e-05,0.5690745064391584,2.4582147672536312e-06,0.7851909861425496,2.4582147672536312e-06,1.2812925919834193e-08,2.7459406364550735e-23,0.10650987841156433,9.813077866773595e-18,0.005914200285865281,0.0,3,3,1.0,True
scale,5,7,35,0.32836129634131356,0.0014644727587636824,0.03803640458080292,5.088157672642699e-07,0.769428352319378,0.0,0.7582117609512324,0.000990502080883728,0.008264462809917356,0.0,0.3806984804052253,0.0,0.030860144451739988,0.0,0.4841321952287152,0.0007581750087848162,0.4527097555476131,6.991681923751722e-05,0.28661964167068466,9.554539443129595e-05,0.34949366806603893,0.0023115242927961043,0.5835214242735897,0.0037721462362254004,0.7944276332794987,0.0032082468724974607,1.2812925919834193e-08,2.7459406364550735e-23,0.10650987841156433,9.813077866773595e-18,0.005914200285865281,0.0,3,3,1.0,True
scale,5,8,40,0.34337266261624694,0.0031008687640749124,0.03789451440914953,7.908017233149365e-06,0.769428352319378,0.0,0.7371610475591076,0.0019419425989295512,0.008264462809917356,0.0,0.3806984804052253,0.0,0.018603633180126943,0.0015163500175696004,0.47537754432042023,0.0013131976362442677,0.45734150744350693,0.0021503955366546654,0.2870732236969838,0.0017035579831392448,0.3546876939903448,0.0010272666821733146,0.7338212260685973,0.011580129192538154,0.7825746965452848,0.0,1.2812925919834193e-08,2.7459406364550735e-23,0.10650987841156433,9.813077866773595e-18,0.005914200285865281,0.0,3,3,1.0,True
scale,6,3,18,0.13720363608007577,0.00033225778987837866,0.03871671684777255,4.975884760310921e-06,0.7808950803018653,0.0007706639507527877,0.6024153424031239,0.004655263035017858,0.008264462809917356,0.0,0.3806984804052253,0.0,0.0623768877216021,0.0022745250263544,0.7776318669293062,0.0018954375219619724,0.2399443036006033,0.001571058141639587,0.20833777998532335,0.0013324499976686062,0.02583832265002653,0.00022986485982090724,0.4990006625449385,0.00784762918375288,0.4990006625449385,0.007847629183752843,2.0069494750207087e-08,6.793551258656373e-09,0.10877204733938158,0.0008301622760959272,0.0056975253890551485,8.45312508364608e-05,3,3,1.0,True
scale,6,4,24,0.30196950490908353,0.0004937531500597079,0.03854361760453457,2.6172104617462443e-06,0.7766407839029889,0.00011693557671413259,0.6235622650949438,0.0006474238946125649,0.008264462809917356,0.0,0.4089576113036524,0.00046175708013031756,0.0577806959947472,0.0,0.7251039614795359,0.0003790875043923239,0.19707319763586317,0.00030379984527446614,0.23497810353740087,0.00027467058438400063,0.2914640805853393,0.0035860487468262906,0.5172163764414285,0.0007386152213921963,0.6910068384277898,0.0016817202128973944,2.5654154021511425e-09,8.099083503528324e-10,0.11402936959662961,0.0008838374619280507,0.006285937900420097,9.79174520031447e-05,3,3,1.0,True
scale,6,5,30,0.291300494905832,0.00010556387431373822,0.038431046179359905,3.903751844718614e-06,0.7808950803018653,0.0007706639507527877,0.7935232364324912,0.0009529714876886048,0.008264462809917356,0.0,0.3806984804052253,0.0,0.05318450426789232,0.0,0.5180564674983584,0.0011372625131771963,0.4306991164439875,0.0017647807106576177,0.3073070923710503,0.0016281815158877412,0.32631326525060106,0.0003302933459812993,0.5656864427354132,9.044695672331563e-06,0.7318031234129557,9.044695672243427e-06,2.0069494750207087e-08,6.793551258656373e-09,0.10877204733938158,0.0008301622760959272,0.0056975253890551485,8.45312508364608e-05,3,3,1.0,True
scale,6,6,36,0.31908747125941955,2.8096786768844576e-05,0.03758195937903135,3.5091971000726312e-06,0.7808950803018653,0.0007706639507527877,0.7553548755547146,0.0006476811498978668,0.008264462809917356,0.0,0.3806984804052253,0.0,0.03151674326986211,0.0,0.5088640840446487,0.00065659881812212,0.4240304983677256,0.0009677276342896043,0.3003534392858815,0.00015386945889593509,0.35477991508780105,9.635989293898917e-05,0.5690745064391584,2.4582147672536312e-06,0.7851909861425496,2.4582147672536312e-06,2.0069494750207087e-08,6.793551258656373e-09,0.10877204733938158,0.0008301622760959272,0.0056975253890551485,8.45312508364608e-05,3,3,1.0,True
scale,6,7,42,0.3284187474107428,0.0014607580724110769,0.03747863861738871,3.5802280332279107e-06,0.7808950803018653,0.0007706639507527877,0.7582117609512324,0.000990502080883728,0.008264462809917356,0.0,0.3806984804052253,0.0,0.030860144451739988,0.0,0.4841321952287152,0.0007581750087848162,0.4527097555476131,6.991681923751722e-05,0.28661964167068466,9.554539443129595e-05,0.34949366806603893,0.0023115242927961043,0.5835214242735897,0.0037721462362254004,0.7944276332794987,0.0032082468724974607,2.0069494750207087e-08,6.793551258656373e-09,0.10877204733938158,0.0008301622760959272,0.0056975253890551485,8.45312508364608e-05,3,3,1.0,True
scale,6,8,48,0.3434773368296911,0.0031078767420011956,0.037340386386880316,9.428869596747299e-06,0.7808950803018653,0.0007706639507527877,0.7371610475591076,0.0019419425989295512,0.008264462809917356,0.0,0.3806984804052253,0.0,0.018603633180126943,0.0015163500175696004,0.47537754432042023,0.0013131976362442677,0.45734150744350693,0.0021503955366546654,0.2870732236969838,0.0017035579831392448,0.3546876939903448,0.0010272666821733146,0.7338212260685973,0.011580129192538154,0.7825746965452848,0.0,2.0069494750207087e-08,6.793551258656373e-09,0.10877204733938158,0.0008301622760959272,0.0056975253890551485,8.45312508364608e-05,3,3,1.0,True
