method,n_row_clusters,n_column_clusters,n_blocks,seed,model_id,column_cluster,n_features,feature_cluster_fraction,n_binary_features,n_numeric_features,binary_feature_fraction,numeric_feature_fraction,n_sparse_features,sparse_feature_fraction,mean_feature_zero_fraction,median_feature_zero_fraction,minimum_feature_zero_fraction,maximum_feature_zero_fraction,mean_feature_value,mean_feature_std,median_unique_values
scale,2,4,8,99,scale_r2_c4_seed99,0,227,0.1490479317137229,227,0,1.0,0.0,0,0.0,0.8898960277259398,0.9082911223673688,0.5614502799253532,0.9496134364169555,0.11010397227406024,0.3032397351689969,2.0
scale,2,4,8,99,scale_r2_c4_seed99,1,104,0.06828627708470125,62,42,0.5961538461538461,0.40384615384615385,0,0.0,0.32117076471915185,0.34924020261263666,0.0,0.8091175686483605,0.5042070008494376,0.31726298825349813,2.0
scale,2,4,8,99,scale_r2_c4_seed99,2,88,0.05778069599474721,88,0,1.0,0.0,0,0.0,0.6984682872446135,0.7252732604638763,0.2991202346041056,0.8539056251666223,0.3015317127553864,0.44231800433518464,2.0
scale,2,4,8,99,scale_r2_c4_seed99,3,1104,0.7248850952068286,451,653,0.40851449275362317,0.5914855072463768,626,0.5670289855072463,0.8546510785529655,0.9626766195681151,0.0,0.9898693681684884,0.04669146091700112,0.11949374740675286,6.0
scale,2,5,10,42,scale_r2_c5_seed42,0,791,0.5193696651346028,130,661,0.16434892541087232,0.8356510745891277,301,0.3805309734513274,0.7868054401674935,0.9077579312183418,0.0,0.9898693681684884,0.0698971943520376,0.11870341335846116,9.0
scale,2,5,10,42,scale_r2_c5_seed42,1,81,0.05318450426789232,47,34,0.5802469135802469,0.41975308641975306,0,0.0,0.3060714673617899,0.3460410557184751,0.0,0.7523327112769927,0.524418252255833,0.3106326593408599,2.0
scale,2,5,10,42,scale_r2_c5_seed42,2,230,0.1510177281680893,230,0,1.0,0.0,0,0.0,0.8920716794362084,0.909624100239936,0.5614502799253532,0.9490802452679286,0.10792832056379167,0.3006728528896745,2.0
scale,2,5,10,42,scale_r2_c5_seed42,3,337,0.22127380170715694,337,0,1.0,0.0,325,0.9643916913946587,0.9764937065249465,0.9829378832311384,0.6803519061583577,0.9896027725939749,0.023506293475053536,0.14050400745770902,2.0
scale,2,5,10,42,scale_r2_c5_seed42,4,84,0.0551543007222587,84,0,1.0,0.0,0,0.0,0.7023619098399155,0.7270061316982137,0.2991202346041056,0.8539056251666223,0.2976380901600843,0.44185238249109543,2.0
scale,2,5,10,7,scale_r2_c5_seed7,0,788,0.5173998686802364,127,661,0.16116751269035534,0.8388324873096447,301,0.3819796954314721,0.7863432695443652,0.9076246334310851,0.0,0.9898693681684884,0.06981381662942811,0.1181167685779281,9.0
scale,2,5,10,7,scale_r2_c5_seed7,1,336,0.2206172028890348,336,0,1.0,0.0,325,0.9672619047619048,0.9768656929580685,0.9829378832311384,0.6803519061583577,0.9896027725939749,0.023134307041931673,0.13986387435170086,2.0
scale,2,5,10,7,scale_r2_c5_seed7,2,234,0.15364412344057782,234,0,1.0,0.0,0,0.0,0.8921051252429552,0.909624100239936,0.5614502799253532,0.9496134364169555,0.10789487475704485,0.3005501334309275,2.0
scale,2,5,10,7,scale_r2_c5_seed7,3,84,0.0551543007222587,84,0,1.0,0.0,0,0.0,0.7023619098399155,0.7270061316982137,0.2991202346041056,0.8539056251666223,0.2976380901600843,0.44185238249109543,2.0
scale,2,5,10,7,scale_r2_c5_seed7,4,81,0.05318450426789232,47,34,0.5802469135802469,0.41975308641975306,0,0.0,0.3060714673617899,0.3460410557184751,0.0,0.7523327112769927,0.524418252255833,0.3106326593408599,2.0
scale,2,5,10,99,scale_r2_c5_seed99,0,788,0.5173998686802364,127,661,0.16116751269035534,0.8388324873096447,301,0.3819796954314721,0.7863432695443652,0.9076246334310851,0.0,0.9898693681684884,0.06981381662942811,0.1181167685779281,9.0
scale,2,5,10,99,scale_r2_c5_seed99,1,234,0.15364412344057782,234,0,1.0,0.0,0,0.0,0.8921051252429552,0.909624100239936,0.5614502799253532,0.9496134364169555,0.10789487475704485,0.3005501334309275,2.0
scale,2,5,10,99,scale_r2_c5_seed99,2,84,0.0551543007222587,84,0,1.0,0.0,0,0.0,0.7023619098399155,0.7270061316982137,0.2991202346041056,0.8539056251666223,0.2976380901600843,0.44185238249109543,2.0
scale,2,5,10,99,scale_r2_c5_seed99,3,81,0.05318450426789232,47,34,0.5802469135802469,0.41975308641975306,0,0.0,0.3060714673617899,0.3460410557184751,0.0,0.7523327112769927,0.524418252255833,0.3106326593408599,2.0
scale,2,5,10,99,scale_r2_c5_seed99,4,336,0.2206172028890348,336,0,1.0,0.0,325,0.9672619047619048,0.9768656929580685,0.9829378832311384,0.6803519061583577,0.9896027725939749,0.023134307041931673,0.13986387435170086,2.0
scale,2,6,12,42,scale_r2_c6_seed42,0,775,0.5088640840446487,119,656,0.15354838709677418,0.8464516129032258,303,0.3909677419354839,0.7987967079746475,0.9168221807517996,0.0,0.9898693681684884,0.05774283866157637,0.1097985706731654,9.0
scale,2,6,12,42,scale_r2_c6_seed42,1,334,0.21930400525279053,334,0,1.0,0.0,323,0.9670658682634731,0.9770153108871567,0.9829378832311384,0.6803519061583577,0.9896027725939749,0.022984689112843366,0.13970394936322678,2.0
scale,2,6,12,42,scale_r2_c6_seed42,2,222,0.14576493762311227,222,0,1.0,0.0,0,0.0,0.89007015546605,0.9082911223673688,0.5614502799253532,0.9480138629698747,0.1099298445339501,0.3034796158197661,2.0
scale,2,6,12,42,scale_r2_c6_seed42,3,83,0.054497701904136574,83,0,1.0,0.0,0,0.0,0.7072202432764917,0.7283391095707811,0.42068781658224474,0.8539056251666223,0.2927797567235083,0.4416593677956879,2.0
scale,2,6,12,42,scale_r2_c6_seed42,4,48,0.03151674326986211,43,5,0.8958333333333334,0.10416666666666667,0,0.0,0.48749222429574335,0.5634497467342041,0.0,0.8091175686483605,0.46407720189159,0.44056828468001136,2.0
scale,2,6,12,42,scale_r2_c6_seed42,5,61,0.04005252790544977,27,34,0.4426229508196721,0.5573770491803278,0,0.0,0.251198587480497,0.0007997867235403892,0.0,0.8067182084777392,0.5263091189770597,0.25808788389485116,208.0
scale,2,6,12,7,scale_r2_c6_seed7,0,61,0.04005252790544977,27,34,0.4426229508196721,0.5573770491803278,0,0.0,0.251198587480497,0.0007997867235403892,0.0,0.8067182084777392,0.5263091189770597,0.25808788389485116,208.0
scale,2,6,12,7,scale_r2_c6_seed7,1,334,0.21930400525279053,334,0,1.0,0.0,323,0.9670658682634731,0.9770153108871567,0.9829378832311384,0.6803519061583577,0.9896027725939749,0.022984689112843366,0.13970394936322678,2.0
scale,2,6,12,7,scale_r2_c6_seed7,2,222,0.14576493762311227,222,0,1.0,0.0,0,0.0,0.89007015546605,0.9082911223673688,0.5614502799253532,0.9480138629698747,0.1099298445339501,0.3034796158197661,2.0
scale,2,6,12,7,scale_r2_c6_seed7,3,776,0.5095206828627709,120,656,0.15463917525773196,0.845360824742268,303,0.3904639175257732,0.7988234065417605,0.9165555851772861,0.0,0.9898693681684884,0.05790101181271558,0.11015268472535522,9.0
scale,2,6,12,7,scale_r2_c6_seed7,4,48,0.03151674326986211,43,5,0.8958333333333334,0.10416666666666667,0,0.0,0.48749222429574335,0.5634497467342041,0.0,0.8091175686483605,0.46407720189159,0.44056828468001136,2.0
scale,2,6,12,7,scale_r2_c6_seed7,5,82,0.05384110308601445,82,0,1.0,0.0,0,0.0,0.7058507975109076,0.7270061316982137,0.42068781658224474,0.8539056251666223,0.2941492024890924,0.44235532258377563,2.0
scale,2,6,12,99,scale_r2_c6_seed99,0,223,0.1464215364412344,223,0,1.0,0.0,0,0.0,0.8903347747028297,0.9082911223673688,0.5614502799253532,0.9490802452679286,0.10966522529717038,0.3031045228188735,2.0
scale,2,6,12,99,scale_r2_c6_seed99,1,61,0.04005252790544977,27,34,0.4426229508196721,0.5573770491803278,0,0.0,0.251198587480497,0.0007997867235403892,0.0,0.8067182084777392,0.5263091189770597,0.25808788389485116,208.0
scale,2,6,12,99,scale_r2_c6_seed99,2,83,0.054497701904136574,83,0,1.0,0.0,0,0.0,0.7072202432764917,0.7283391095707811,0.42068781658224474,0.8539056251666223,0.2927797567235083,0.4416593677956879,2.0
scale,2,6,12,99,scale_r2_c6_seed99,3,774,0.5082074852265266,118,656,0.1524547803617571,0.8475452196382429,303,0.39147286821705424,0.7986025431977829,0.9165555851772861,0.0,0.9898693681684884,0.05775165401549045,0.10965640619519695,9.0
scale,2,6,12,99,scale_r2_c6_seed99,4,48,0.03151674326986211,43,5,0.8958333333333334,0.10416666666666667,0,0.0,0.48749222429574335,0.5634497467342041,0.0,0.8091175686483605,0.46407720189159,0.44056828468001136,2.0
scale,2,6,12,99,scale_r2_c6_seed99,5,334,0.21930400525279053,334,0,1.0,0.0,323,0.9670658682634731,0.9770153108871567,0.9829378832311384,0.6803519061583577,0.9896027725939749,0.022984689112843366,0.13970394936322678,2.0
