component,explained_variance_ratio,cumulative_explained_variance
1,0.15956142248710123,0.15956142248710123
2,0.05089368388743013,0.21045510637453135
3,0.045095794307057645,0.255550900681589
4,0.04018312221569858,0.29573402289728756
5,0.031247382401758093,0.3269814052990457
6,0.027108219361330104,0.3540896246603758
7,0.024387972109626684,0.3784775967700025
8,0.021291527239688964,0.39976912400969145
9,0.01982368717895416,0.4195928111886456
10,0.015477077644135116,0.43506988883278075
11,0.014285072727381581,0.4493549615601623
12,0.012743059355136118,0.46209802091529845
13,0.011776869717914414,0.47387489063321286
14,0.011331923669990869,0.4852068143032037
15,0.010834973187830554,0.4960417874910343
16,0.01048091534995067,0.506522702840985
17,0.00940324956149456,0.5159259524024795
18,0.009351270941569305,0.5252772233440488
19,0.009052547089881026,0.5343297704339298
20,0.008609589349309279,0.5429393597832392
21,0.008329122539589506,0.5512684823228287
22,0.00792014757912104,0.5591886299019497
23,0.007360377135427273,0.566549007037377
24,0.007254025411508466,0.5738030324488854
25,0.006696684869512979,0.5804997173183984
26,0.006663852634221457,0.5871635699526199
27,0.0065379167261952545,0.5937014866788152
28,0.00645094561432467,0.6001524322931399
29,0.005964922712220295,0.6061173550053601
30,0.005752215292451122,0.6118695702978112
31,0.005613205964771279,0.6174827762625825
32,0.005495684728433878,0.6229784609910164
33,0.005294895689366171,0.6282733566803825
34,0.00522094054905612,0.6334942972294386
35,0.00512059228477799,0.6386148895142166
36,0.005054790942126239,0.6436696804563429
37,0.004919214843838618,0.6485888953001815
38,0.0047730297159268515,0.6533619250161083
39,0.004631346997652505,0.6579932720137609
40,0.004586872039826864,0.6625801440535878
41,0.004420011707849601,0.6670001557614373
42,0.0043494930614648986,0.6713496488229023
43,0.004270798496823159,0.6756204473197255
44,0.0041341920503149545,0.6797546393700404
45,0.004011396752065277,0.6837660361221057
46,0.003949462877839364,0.6877154989999451
47,0.003912097904300072,0.6916275969042451
48,0.0038533717972175823,0.6954809687014627
49,0.0037440200585233067,0.699224988759986
50,0.0036574594239273867,0.7028824481839133
51,0.003601735407942939,0.7064841835918563
52,0.0035681562001908178,0.7100523397920471
53,0.0035034848183831376,0.7135558246104302
54,0.0034513514760066964,0.7170071760864369
55,0.003341930116535498,0.7203491062029724
56,0.0033306984243744848,0.7236798046273469
57,0.003249807113579767,0.7269296117409267
58,0.0032142088759719092,0.7301438206168986
59,0.0031364007935293773,0.733280221410428
60,0.003071266215188399,0.7363514876256164
61,0.0030443382246664492,0.7393958258502829
62,0.0029631609259420234,0.7423589867762249
63,0.0029231060127656396,0.7452820927889906
64,0.0028813163946210967,0.7481634091836117
65,0.0028047551758359443,0.7509681643594476
66,0.0027404868256288954,0.7537086511850765
67,0.0027150346594602033,0.7564236858445367
68,0.002703605648861458,0.7591272914933981
69,0.00266036260667864,0.7617876541000768
70,0.00258254078905328,0.76437019488913
71,0.002567346331009881,0.7669375412201399
72,0.00251100989148762,0.7694485511116276
73,0.0024577551831087003,0.7719063062947362
74,0.0024284111561838407,0.7743347174509201
75,0.002375003264019826,0.7767097207149399
76,0.00235059957354201,0.7790603202884819
77,0.0023393470748594813,0.7813996673633414
78,0.0023279845346397435,0.7837276518979812
79,0.0022778707979088284,0.7860055226958901
80,0.002237112277647881,0.788242634973538
81,0.002178654650083386,0.7904212896236213
82,0.0021738628050580696,0.7925951524286794
83,0.0021490148648477835,0.7947441672935271
84,0.002127135051076114,0.7968713023446032
85,0.0021112481845229885,0.7989825505291263
86,0.0020877332776172573,0.8010702838067435
87,0.002061730331396929,0.8031320141381404
88,0.002045255753008731,0.8051772698911491
89,0.0020227435640530513,0.8072000134552022
90,0.001966814212213366,0.8091668276674155
91,0.001943012759493868,0.8111098404269094
92,0.001921501765050865,0.8130313421919603
93,0.0019077154553762013,0.8149390576473364
94,0.0018977694588545198,0.816836827106191
95,0.0018666607012477038,0.8187034878074387
96,0.001837908589778724,0.8205413963972175
97,0.001829471152308662,0.8223708675495262
98,0.0017965387416418609,0.824167406291168
99,0.0017794809495769197,0.8259468872407449
100,0.0017521943902692085,0.8276990816310141
101,0.0017303255840712846,0.8294294072150854
102,0.001713270540944135,0.8311426777560296
103,0.0017098476610767986,0.8328525254171064
104,0.0016733730938086886,0.8345258985109151
105,0.0016485873532663304,0.8361744858641814
106,0.001634858243010286,0.8378093441071917
107,0.0016022725455434729,0.8394116166527351
108,0.0015908512617455056,0.8410024679144806
109,0.0015818242694967109,0.8425842921839773
110,0.0015677912735586486,0.844152083457536
111,0.001537946260386614,0.8456900297179226
112,0.0015299645198126716,0.8472199942377353
113,0.0015074621320026117,0.8487274563697379
114,0.0014880963824438155,0.8502155527521817
115,0.0014857652484145225,0.8517013180005962
116,0.0014767851847004496,0.8531781031852966
117,0.0014553036385762524,0.8546334068238729
118,0.0014397972096471586,0.85607320403352
119,0.0014072671571518688,0.857480471190672
120,0.0013837384819295516,0.8588642096726015
121,0.0013759935677877012,0.8602402032403892
122,0.0013623507974454042,0.8616025540378346
123,0.0013526168518596246,0.8629551708896942
124,0.0013345738683807956,0.864289744758075
125,0.0013279787338732394,0.8656177234919482
126,0.0013072780293073706,0.8669250015212556
127,0.0013022124475106716,0.8682272139687663
128,0.001286422610617185,0.8695136365793835
129,0.0012775653352547773,0.8707912019146383
130,0.0012629450400695318,0.8720541469547078
131,0.0012560517392134647,0.8733101986939213
132,0.0012386904327906236,0.874548889126712
133,0.001226383981608385,0.8757752731083204
134,0.0012210538125152206,0.8769963269208356
135,0.001203052978110575,0.8781993798989463
136,0.001186404031378426,0.8793857839303246
